Player,Squad,PSxG,PSxG/SoT,PSxG+/-,Launch%,Crosses_Opp,Crosses_stp%,#OPA,Season,Competition
benjamin lecomte,Espanyol,10.4,0.26,-2.6,57.3,146.0,2.7,11.0,2022-2023,laliga
jeremias ledesma,Cádiz,47.1,0.22,-0.9,58.5,595.0,7.1,26.0,2022-2023,laliga
diego lopez,Rayo Vallecano,1.7,0.33,-2.3,28.6,12.0,0.0,2.0,2022-2023,laliga
andriy lunin,Real Madrid,4.5,0.25,-1.5,7.9,54.0,1.9,11.0,2022-2023,laliga
giorgi mamardashvili,Valencia,42.9,0.28,-0.1,40.8,457.0,7.7,47.0,2022-2023,laliga
agustin marchesin,Celta Vigo,20.7,0.24,-7.3,39.8,253.0,5.5,25.0,2022-2023,laliga
diego marino,Almería,1.4,0.28,-0.6,33.3,12.0,0.0,0.0,2022-2023,laliga
jordi masip,Valladolid,45.8,0.27,4.8,36.8,396.0,3.8,14.0,2022-2023,laliga
jan oblak,Atlético Madrid,21.9,0.27,1.9,40.4,358.0,7.0,19.0,2022-2023,laliga
fernando pacheco,Almería,1.6,0.32,-0.4,42.3,16.0,6.3,2.0,2022-2023,laliga
fernando pacheco,Espanyol,26.6,0.25,-6.4,42.4,242.0,6.6,19.0,2022-2023,laliga
inaki pena,Barcelona,1.4,0.36,-0.6,13.0,7.0,0.0,2.0,2022-2023,laliga
predrag rajkovic,Mallorca,39.2,0.25,-0.8,61.8,608.0,5.3,19.0,2022-2023,laliga
pepe reina,Villarreal,28.9,0.29,2.9,22.1,315.0,4.8,20.0,2022-2023,laliga
alex remiro,Real Sociedad,32.8,0.24,-0.2,39.8,453.0,4.0,47.0,2022-2023,laliga
leo roman,Mallorca,0.1,0.03,0.1,40.0,30.0,3.3,2.0,2022-2023,laliga
geronimo rulli,Villarreal,12.5,0.23,2.5,19.3,215.0,9.3,21.0,2022-2023,laliga
rui silva,Betis,32.9,0.3,1.9,40.7,369.0,4.9,37.0,2022-2023,laliga
unai simon,Athletic Club,31.7,0.28,-2.3,30.6,355.0,5.1,40.0,2022-2023,laliga
david soria,Getafe,45.5,0.23,2.5,75.1,586.0,6.1,46.0,2022-2023,laliga
marcandre ter stegen,Barcelona,23.7,0.21,8.7,22.1,368.0,4.9,41.0,2022-2023,laliga
ivan villar,Celta Vigo,22.2,0.31,-1.8,34.7,256.0,3.1,14.0,2022-2023,laliga
axel werner,Elche,2.4,0.31,-1.6,32.1,26.0,3.8,1.0,2022-2023,laliga
julen agirrezabala,Athletic Club,2.4,0.2,-1.6,35.9,41.0,4.9,3.0,2023-2024,laliga
kepa arrizabalaga,Real Madrid,10.0,0.28,2.0,19.2,157.0,3.8,10.0,2023-2024,laliga
augusto batalla,Granada,22.6,0.27,-5.4,45.8,275.0,8.4,18.0,2023-2024,laliga
yassine bounou,Sevilla,1.1,0.37,-0.9,41.7,9.0,0.0,0.0,2023-2024,laliga
claudio bravo,Betis,5.5,0.27,1.5,30.2,101.0,4.0,6.0,2023-2024,laliga
dani cardenas,Rayo Vallecano,0.9,0.93,-0.1,36.1,5.0,0.0,2.0,2023-2024,laliga
thibaut courtois,Real Madrid,3.1,0.22,3.1,16.2,47.0,4.3,5.0,2023-2024,laliga
cristian,Valencia,0.5,0.17,-0.5,26.7,12.0,0.0,0.0,2023-2024,laliga
ivan cuellar,Mallorca,1.2,0.19,0.2,31.3,6.0,16.7,0.0,2023-2024,laliga
stole dimitrievski,Rayo Vallecano,46.9,0.31,1.9,47.1,529.0,4.3,38.0,2023-2024,laliga
marko dmitrovic,Sevilla,22.4,0.3,-1.6,32.5,152.0,7.2,15.0,2023-2024,laliga
jaume domenech,Valencia,1.7,0.14,-1.3,62.5,19.0,5.3,1.0,2023-2024,laliga
aaron escandell,Las Palmas,2.5,0.62,-0.5,27.4,24.0,4.2,4.0,2023-2024,laliga
aitor fernandez,Osasuna,6.1,0.26,-2.9,56.3,69.0,1.4,15.0,2023-2024,laliga
raul fernandez,Granada,7.8,0.46,-2.2,37.5,36.0,11.1,11.0,2023-2024,laliga
fernando,Almería,8.5,0.37,-1.5,39.8,72.0,5.6,7.0,2023-2024,laliga
andre ferreira,Granada,27.8,0.33,-0.2,31.4,195.0,3.1,13.0,2023-2024,laliga
daniel fuzato,Getafe,1.3,0.63,-0.7,50.0,5.0,20.0,0.0,2023-2024,laliga
paulo gazzaniga,Girona,51.0,0.28,5.0,25.6,534.0,7.7,33.0,2023-2024,laliga
david gil,Cádiz,5.3,0.26,-1.7,76.9,91.0,7.7,0.0,2023-2024,laliga
dominik greif,Mallorca,0.7,0.16,0.7,52.2,12.0,0.0,1.0,2023-2024,laliga
vicente guaita,Celta Vigo,39.7,0.31,2.7,39.4,420.0,5.5,27.0,2023-2024,laliga
sergio herrera,Osasuna,45.6,0.34,-1.4,52.0,468.0,6.2,43.0,2023-2024,laliga
filip jrgensen,Villarreal,59.8,0.27,-2.2,24.5,650.0,5.2,36.0,2023-2024,laliga
jeremias ledesma,Cádiz,46.4,0.3,-0.6,60.4,526.0,10.1,45.0,2023-2024,laliga
andriy lunin,Real Madrid,21.2,0.31,4.2,13.7,283.0,9.5,23.0,2023-2024,laliga
giorgi mamardashvili,Valencia,49.2,0.31,10.2,57.3,530.0,8.5,31.0,2023-2024,laliga
diego marino,Almería,2.1,0.02,0.1,20.0,6.0,0.0,2.0,2023-2024,laliga
unai marrero,Real Sociedad,2.9,0.37,-0.1,45.9,27.0,3.7,4.0,2023-2024,laliga
marc martinez,Granada,12.1,0.46,1.1,33.8,30.0,0.0,10.0,2023-2024,laliga
luis maximiano,Almería,59.7,0.32,-3.3,38.4,551.0,4.5,38.0,2023-2024,laliga
rjan nyland,Sevilla,29.8,0.26,3.8,49.9,359.0,5.6,17.0,2023-2024,laliga
jan oblak,Atlético Madrid,39.8,0.28,-3.2,27.6,579.0,6.2,22.0,2023-2024,laliga
jesus owono,Alavés,6.4,0.27,-1.6,54.5,29.0,13.8,8.0,2023-2024,laliga
inaki pena,Barcelona,13.9,0.36,-3.1,13.3,116.0,1.7,5.0,2023-2024,laliga
predrag rajkovic,Mallorca,41.8,0.27,-0.2,60.9,502.0,6.6,28.0,2023-2024,laliga
pepe reina,Villarreal,1.9,0.21,-0.1,24.1,38.0,2.6,0.0,2023-2024,laliga
alex remiro,Real Sociedad,37.9,0.26,2.9,30.6,383.0,4.7,54.0,2023-2024,laliga
rui silva,Betis,37.5,0.26,3.5,36.0,375.0,8.3,34.0,2023-2024,laliga
unai simon,Athletic Club,38.0,0.28,9.0,48.5,450.0,6.9,46.0,2023-2024,laliga
antonio sivera,Alavés,38.4,0.25,2.4,62.3,501.0,5.0,29.0,2023-2024,laliga
david soria,Getafe,53.9,0.29,1.9,66.2,458.0,3.7,62.0,2023-2024,laliga
marcandre ter stegen,Barcelona,27.7,0.25,0.7,14.4,334.0,3.9,31.0,2023-2024,laliga
alvaro valles,Las Palmas,48.7,0.28,7.7,21.7,521.0,5.6,96.0,2023-2024,laliga
fran vieites,Betis,4.5,0.25,0.5,37.8,65.0,4.6,2.0,2023-2024,laliga
ivan villar,Celta Vigo,16.3,0.31,-0.7,35.4,136.0,3.7,9.0,2023-2024,laliga
adrian,Betis,26.0,0.33,-1.0,28.0,257.0,5.4,16.0,2024-2025,laliga
julen agirrezabala,Athletic Club,10.5,0.27,1.5,37.5,143.0,14.0,17.0,2024-2025,laliga
augusto batalla,Rayo Vallecano,40.0,0.25,2.0,42.3,453.0,7.7,38.0,2024-2025,laliga
dani cardenas,Rayo Vallecano,5.6,0.29,-0.4,56.8,79.0,2.5,1.0,2024-2025,laliga
jasper cillessen,Las Palmas,44.3,0.3,4.3,39.5,413.0,3.1,20.0,2024-2025,laliga
diego conde,Villarreal,26.3,0.26,-5.7,22.7,323.0,5.6,16.0,2024-2025,laliga
thibaut courtois,Real Madrid,28.7,0.27,0.7,18.5,350.0,4.6,14.0,2024-2025,laliga
stole dimitrievski,Valencia,4.5,0.29,-1.5,49.6,51.0,5.9,16.0,2024-2025,laliga
marko dmitrovic,Leganés,50.2,0.3,3.2,65.3,579.0,8.5,53.0,2024-2025,laliga
aitor fernandez,Osasuna,1.2,0.23,1.2,70.6,14.0,7.1,1.0,2024-2025,laliga
alvaro fernandez,Sevilla,11.0,0.25,-5.0,39.7,105.0,6.7,14.0,2024-2025,laliga
andre ferreira,Valladolid,15.3,0.35,-4.7,37.0,92.0,4.3,3.0,2024-2025,laliga
fran,Real Madrid,0.9,0.43,-1.1,12.5,5.0,20.0,1.0,2024-2025,laliga
joan garcia,Espanyol,57.7,0.28,7.7,37.6,670.0,9.6,35.0,2024-2025,laliga
paulo gazzaniga,Girona,45.4,0.29,-4.6,21.6,419.0,8.6,33.0,2024-2025,laliga
dominik greif,Mallorca,33.9,0.28,0.9,41.9,511.0,2.9,21.0,2024-2025,laliga
vicente guaita,Celta Vigo,40.6,0.3,-7.4,18.4,436.0,6.0,44.0,2024-2025,laliga
sergio herrera,Osasuna,56.2,0.28,5.2,43.2,524.0,6.1,85.0,2024-2025,laliga
dinko horkas,Las Palmas,19.4,0.34,1.4,31.8,148.0,6.1,16.0,2024-2025,laliga
karl jakob hein,Valladolid,58.8,0.35,-8.2,32.6,474.0,7.2,34.0,2024-2025,laliga
luiz lucio reis junior,Villarreal,18.1,0.23,0.1,31.9,256.0,6.3,20.0,2024-2025,laliga
pau lopez,Girona,1.3,0.44,-0.7,35.3,17.0,17.6,1.0,2024-2025,laliga
andriy lunin,Real Madrid,6.4,0.32,-0.6,20.0,61.0,3.3,12.0,2024-2025,laliga
giorgi mamardashvili,Valencia,46.1,0.3,1.1,36.0,472.0,7.0,38.0,2024-2025,laliga
unai marrero,Real Sociedad,3.5,0.22,0.5,24.4,21.0,4.8,3.0,2024-2025,laliga
juan musso,Atlético Madrid,0.1,0.05,0.1,15.2,23.0,8.7,0.0,2024-2025,laliga
rjan nyland,Sevilla,37.1,0.31,-0.9,42.1,408.0,4.9,29.0,2024-2025,laliga
jan oblak,Atlético Madrid,25.6,0.19,-2.4,24.3,488.0,5.7,28.0,2024-2025,laliga
jesus owono,Alavés,5.4,0.37,-1.6,55.6,66.0,9.1,2.0,2024-2025,laliga
alex padilla,Athletic Club,4.8,0.26,-0.2,58.2,57.0,3.5,3.0,2024-2025,laliga
inaki pena,Barcelona,16.7,0.29,-1.3,10.8,143.0,2.1,89.0,2024-2025,laliga
arnau rafus,Valladolid,0.5,0.23,-1.5,34.2,14.0,7.1,1.0,2024-2025,laliga
alex remiro,Real Sociedad,38.0,0.26,-5.0,31.4,446.0,6.5,40.0,2024-2025,laliga
adrian rodriguez,Alavés,1.5,0.13,-0.5,92.3,33.0,0.0,0.0,2024-2025,laliga
leo roman,Mallorca,13.5,0.26,3.5,53.2,127.0,6.3,6.0,2024-2025,laliga
rui silva,Betis,18.4,0.3,1.4,26.0,194.0,5.2,31.0,2024-2025,laliga
unai simon,Athletic Club,16.3,0.24,2.3,36.2,249.0,7.6,28.0,2024-2025,laliga
antonio sivera,Alavés,39.0,0.28,2.0,71.8,453.0,6.6,29.0,2024-2025,laliga
david soria,Getafe,42.0,0.29,3.0,72.6,479.0,5.2,39.0,2024-2025,laliga
juan soriano,Leganés,8.8,0.36,2.8,56.5,130.0,5.4,0.0,2024-2025,laliga
wojciech szczesny,Barcelona,12.0,0.35,0.0,12.3,130.0,5.4,56.0,2024-2025,laliga
marcandre ter stegen,Barcelona,6.4,0.26,-2.6,12.1,83.0,6.0,13.0,2024-2025,laliga
fran vieites,Betis,4.7,0.42,-0.3,40.0,65.0,9.2,4.0,2024-2025,laliga
ivan villar,Celta Vigo,8.2,0.4,1.2,14.6,65.0,1.5,5.0,2024-2025,laliga
krapyvtsov vladyslav,Girona,6.3,0.31,-0.7,31.7,27.0,3.7,1.0,2024-2025,laliga
dogan alemdar,Rennes,6.5,0.29,-1.5,38.5,75.0,6.7,5.0,2022-2023,ligue-1
paul bernardoni,Angers,51.4,0.31,-7.6,39.5,357.0,5.9,18.0,2022-2023,ligue-1
marco bizot,Brest,54.9,0.26,2.9,38.2,520.0,5.8,25.0,2022-2023,ligue-1
ruben blanco,Marseille,3.9,0.2,-0.1,20.6,73.0,4.1,7.0,2022-2023,ligue-1
joaquin blazquez,Brest,0.2,0.06,0.2,61.1,11.0,18.2,0.0,2022-2023,ligue-1
marcin buka,Nice,3.1,0.52,1.1,20.4,26.0,7.7,3.0,2022-2023,ligue-1
matis carvalho,Montpellier,1.9,0.24,-1.1,78.9,38.0,5.3,0.0,2022-2023,ligue-1
lucas chevalier,Lille,30.5,0.27,2.5,26.2,317.0,6.9,25.0,2022-2023,ligue-1
benoit costil,Auxerre,34.0,0.33,-7.0,41.9,285.0,1.1,11.0,2022-2023,ligue-1
remy descamps,Nantes,1.5,0.25,0.5,25.0,11.0,9.1,0.0,2022-2023,ligue-1
mory diaw,Clermont Foot,55.4,0.28,8.4,40.0,464.0,7.3,25.0,2022-2023,ligue-1
yehvann diouf,Reims,37.0,0.27,7.0,28.3,430.0,9.3,35.0,2022-2023,ligue-1
ouparine djoco,Clermont Foot,1.0,0.34,-1.0,40.0,14.0,7.1,5.0,2022-2023,ligue-1
gianluigi donnarumma,Paris S-G,43.3,0.26,4.3,15.0,436.0,7.6,27.0,2022-2023,ligue-1
maxime dupe,Toulouse,54.2,0.28,0.2,24.4,517.0,5.8,21.0,2022-2023,ligue-1
yahia fofana,Angers,16.4,0.27,-1.6,35.2,143.0,11.9,9.0,2022-2023,ligue-1
gauthier gallon,Troyes,54.9,0.29,-8.1,35.2,496.0,6.7,9.0,2022-2023,ligue-1
leo jardim,Lille,8.6,0.4,-4.4,21.7,65.0,7.7,9.0,2022-2023,ligue-1
bingourou kamara,Montpellier,9.1,0.29,-1.9,42.1,52.0,5.8,2.0,2022-2023,ligue-1
alban lafont,Nantes,54.8,0.26,4.8,37.2,493.0,8.5,39.0,2022-2023,ligue-1
