Player,Squad,Fls,Off,Crosses,Recov,Aerialwon%,Season,Competition
hugo novoa,RB Leipzig,6,4,10,4,42.9,2022-2023,bundesliga
rjan nyland,RB Leipzig,0,0,0,5,0.0,2022-2023,bundesliga
tim oermann,Bochum,3,0,0,5,44.4,2022-2023,bundesliga
finn ole becker,Hoffenheim,4,1,3,43,21.4,2022-2023,bundesliga
mathias olesen,Köln,6,1,2,29,33.3,2022-2023,bundesliga
dani olmo,RB Leipzig,17,1,11,84,32.0,2022-2023,bundesliga
jan olschowsky,Gladbach,0,0,0,8,,2022-2023,bundesliga
jonas omlin,Gladbach,0,0,0,31,100.0,2022-2023,bundesliga
karim onisiwo,Mainz 05,49,22,57,67,45.5,2022-2023,bundesliga
willi orban,RB Leipzig,17,3,3,194,59.7,2022-2023,bundesliga
ivan ordets,Bochum,32,3,1,150,66.3,2022-2023,bundesliga
jordi oseitutu,Bochum,8,3,15,48,33.3,2022-2023,bundesliga
patrick osterhage,Bochum,19,0,12,55,32.4,2022-2023,bundesliga
paulo otavio,Wolfsburg,25,0,68,110,42.9,2022-2023,bundesliga
thomas ouwejan,Schalke 04,6,1,96,61,23.5,2022-2023,bundesliga
reece oxford,Augsburg,0,0,0,6,50.0,2022-2023,bundesliga
salih ozcan,Dortmund,26,0,3,126,51.3,2022-2023,bundesliga
levin oztunal,Union Berlin,0,0,0,1,0.0,2022-2023,bundesliga
exequiel palacios,Leverkusen,23,1,5,172,48.1,2022-2023,bundesliga
milos pantovic,Union Berlin,4,2,3,15,40.0,2022-2023,bundesliga
antonios papadopoulos,Dortmund,2,0,0,2,100.0,2022-2023,bundesliga
kevin paredes,Wolfsburg,4,2,22,38,37.5,2022-2023,bundesliga
marco pasalic,Dortmund,1,0,1,2,,2022-2023,bundesliga
felix passlack,Dortmund,0,0,2,5,50.0,2022-2023,bundesliga
paulinho,Leverkusen,0,0,0,5,20.0,2022-2023,bundesliga
benjamin pavard,Bayern Munich,28,5,45,153,66.0,2022-2023,bundesliga
jiri pavlenka,Werder Bremen,0,0,0,50,88.9,2022-2023,bundesliga
kristian pedersen,Köln,5,0,4,19,71.4,2022-2023,bundesliga
mads pedersen,Augsburg,23,0,46,122,23.3,2022-2023,bundesliga
jordan pefok,Union Berlin,37,9,2,41,53.5,2022-2023,bundesliga
dzenan pejcinovic,Wolfsburg,0,0,0,0,20.0,2022-2023,bundesliga
peter pekarik,Hertha BSC,0,0,4,14,44.4,2022-2023,bundesliga
luca pellegrini,Eint Frankfurt,8,0,54,53,62.5,2022-2023,bundesliga
ricardo pepi,Augsburg,0,0,0,5,27.3,2022-2023,bundesliga
juan perea,Stuttgart,12,6,6,16,25.0,2022-2023,bundesliga
nils petersen,Freiburg,5,3,0,8,37.8,2022-2023,bundesliga
lukas petkov,Augsburg,4,0,0,6,25.0,2022-2023,bundesliga
luca pfeiffer,Stuttgart,14,1,1,16,51.7,2022-2023,bundesliga
