Player,Squad,Liga,Season,Tack_Def_3rd,Tack_Mid_3rd,Tack_Att_3rd,Tkl%,Tkl,TklW,Int,Blocks,Block_Shots,Block_Pass,Clearences,Err
marcos andre,valladolid,La-Liga,2024-2025,3,5,2,0.385,5,6,3,18,2,16,10,0
leandro antonetti,sevilla,La-Liga,2024-2025,0,0,0,,0,0,0,0,0,0,0,0
antoniu,espanyol,La-Liga,2024-2025,9,8,4,0.429,9,10,8,14,2,12,11,1
antony,betis,La-Liga,2024-2025,6,9,10,0.364,8,11,10,12,1,11,9,1
anuar,valladolid,La-Liga,2024-2025,21,12,5,0.536,15,27,18,24,8,16,26,1
aritz arambarri,leganes,La-Liga,2024-2025,1,0,0,1.0,1,1,3,2,2,0,8,0
mauro arambarri,getafe,La-Liga,2024-2025,10,33,5,0.4579999999999999,22,29,15,35,6,29,46,0
jon aramburu,real sociedad,La-Liga,2024-2025,61,30,11,0.66,66,70,30,40,8,32,98,0
ronald araujo,barcelona,La-Liga,2024-2025,6,5,1,0.8,4,9,9,6,4,2,25,0
adu ares,athletic club,La-Liga,2024-2025,0,0,0,0.0,0,0,0,0,0,0,0,0
jesus areso,osasuna,La-Liga,2024-2025,31,14,8,0.696,39,38,8,26,4,22,92,0
david arguelles,getafe,La-Liga,2024-2025,0,0,0,,0,0,0,2,0,2,0,0
jose arnaiz,osasuna,La-Liga,2024-2025,3,3,1,0.5710000000000001,4,5,5,2,0,2,1,0
sergio arribas,betis,La-Liga,2024-2025,4,3,0,0.857,6,4,3,2,2,0,4,0
takuma asano,mallorca,La-Liga,2024-2025,5,7,1,0.545,6,9,6,7,0,7,9,0
raul asencio,real madrid,La-Liga,2024-2025,18,4,0,0.769,10,16,16,11,6,5,88,2
iago aspas,celta vigo,La-Liga,2024-2025,4,5,4,0.4,8,8,8,18,1,17,5,0
yaser asprilla,girona,La-Liga,2024-2025,6,8,8,0.348,8,12,7,14,0,14,7,1
ezequiel avila,betis,La-Liga,2024-2025,2,2,4,0.4,4,3,2,4,0,4,8,0
adam aznou,valladolid,La-Liga,2024-2025,20,8,0,0.488,21,21,10,24,8,16,30,0
cesar azpilicueta,atletico madrid,La-Liga,2024-2025,12,9,4,0.7390000000000001,17,14,5,10,2,8,32,0
papa ba,girona,La-Liga,2024-2025,1,0,0,,0,1,0,1,0,1,1,0
loic bade,sevilla,La-Liga,2024-2025,37,10,0,0.742,23,27,29,22,13,9,162,2
alex baena,villarreal,La-Liga,2024-2025,6,14,8,0.256,10,15,22,29,2,27,22,2
juma bah,valladolid,La-Liga,2024-2025,7,3,0,0.6,3,7,12,15,8,7,60,0
eric bailly,villarreal,La-Liga,2024-2025,6,6,0,0.75,3,4,6,12,6,6,29,0
stefan bajcetic,las palmas,La-Liga,2024-2025,13,13,3,0.429,12,14,15,25,4,21,26,1
cedric bakambu,betis,La-Liga,2024-2025,0,5,1,0.429,3,4,0,13,2,11,5,0
alejandro balde,barcelona,La-Liga,2024-2025,10,5,3,0.647,11,10,5,24,5,19,27,0
ivan balliu,rayo vallecano,La-Liga,2024-2025,8,5,4,0.3329999999999999,6,14,13,16,4,12,39,0
jonathan bamba,celta vigo,La-Liga,2024-2025,4,6,2,0.417,5,7,5,6,0,6,6,0
adrian baquerin,valladolid,La-Liga,2024-2025,0,1,0,,0,1,0,0,0,0,1,0
valentin barco,sevilla,La-Liga,2024-2025,8,3,4,0.8,12,9,2,0,0,0,5,0
borna barisic,leganes,La-Liga,2024-2025,0,0,0,,0,0,0,0,0,0,0,0
kike barja,osasuna,La-Liga,2024-2025,1,3,1,0.5,2,4,3,5,0,5,4,0
enzo barrenechea,valencia,La-Liga,2024-2025,22,29,6,0.696,32,30,28,30,8,22,48,1
ander barrenetxea,real sociedad,La-Liga,2024-2025,7,14,5,0.261,6,19,11,15,0,15,16,1
pablo barrios,atletico madrid,La-Liga,2024-2025,23,20,3,0.489,23,26,34,18,5,13,33,9
thierno barry,villarreal,La-Liga,2024-2025,2,5,4,0.4,4,8,0,15,2,13,19,0
marc bartra,betis,La-Liga,2024-2025,20,13,0,0.5770000000000001,15,19,33,41,25,16,148,0
aboubacar bassinga,las palmas,La-Liga,2024-2025,0,0,0,,0,0,0,0,0,0,0,0
augusto batalla,rayo vallecano,La-Liga,2024-2025,4,0,0,0.667,4,2,0,0,0,0,15,4
rafael bauza,espanyol,La-Liga,2024-2025,3,1,1,0.5710000000000001,4,3,0,3,1,2,5,0
sheraldo becker,real sociedad,La-Liga,2024-2025,0,3,0,0.0,0,2,1,4,0,4,10,0
donny van de beek,girona,La-Liga,2024-2025,17,7,5,0.5,13,18,10,19,3,16,12,0
luken beitia,real sociedad,La-Liga,2024-2025,1,0,0,1.0,1,1,0,0,0,0,2,0
ismael bekhoucha,getafe,La-Liga,2024-2025,1,0,0,0.5,1,1,2,2,1,1,2,0
hector bellerin,betis,La-Liga,2024-2025,7,4,2,0.588,10,7,6,5,3,2,21,0
jude bellingham,real madrid,La-Liga,2024-2025,20,27,14,0.667,28,33,28,37,2,35,23,1
fran beltran,celta vigo,La-Liga,2024-2025,24,21,5,0.429,24,35,26,26,6,20,34,4
carlos benavidez,alaves,La-Liga,2024-2025,10,6,3,0.545,6,14,8,5,2,3,14,1
iker benito,osasuna,La-Liga,2024-2025,0,0,0,0.0,0,0,1,0,0,0,2,0
yuri berchiche,athletic club,La-Liga,2024-2025,19,11,3,0.5760000000000001,19,21,27,25,5,20,72,3
alex berenguer,athletic club,La-Liga,2024-2025,6,16,10,0.452,14,16,10,23,2,21,18,0
marc bernal,barcelona,La-Liga,2024-2025,2,5,1,0.875,7,6,1,5,1,4,4,0
juan bernat,villarreal,La-Liga,2024-2025,7,1,1,0.8,4,7,1,3,1,2,4,0
juan bernat,getafe,La-Liga,2024-2025,9,5,5,0.583,7,13,2,9,3,6,12,0
juan berrocal,getafe,La-Liga,2024-2025,10,4,0,0.7140000000000001,10,7,15,6,3,3,59,0
antonio blanco,alaves,La-Liga,2024-2025,23,37,7,0.386,32,40,42,30,7,23,48,1
daley blind,girona,La-Liga,2024-2025,26,19,4,0.6459999999999999,31,27,32,32,9,23,94,2
adama boiro,athletic club,La-Liga,2024-2025,11,7,2,0.667,10,11,12,10,3,7,27,1
enzo boyomo,osasuna,La-Liga,2024-2025,46,18,4,0.769,30,43,44,34,19,15,137,3
enzo boyomo,valladolid,La-Liga,2024-2025,4,2,0,1.0,3,2,1,4,3,1,7,0
darko brasanac,leganes,La-Liga,2024-2025,5,15,6,0.529,9,11,16,24,11,13,34,0
tajon buchanan,villarreal,La-Liga,2024-2025,6,4,0,0.667,6,5,1,6,0,6,1,0
ante budimir,osasuna,La-Liga,2024-2025,3,11,6,0.231,3,9,2,19,4,15,26,0
manu bueno,sevilla,La-Liga,2024-2025,0,1,3,0.5,1,3,0,0,0,0,2,0
endika bujan,athletic club,La-Liga,2024-2025,0,0,0,0.0,0,0,0,0,0,0,0,0
pau cabanes,villarreal,La-Liga,2024-2025,0,3,1,0.75,3,4,3,5,0,5,2,1
pau cabanes,alaves,La-Liga,2024-2025,4,3,1,0.462,6,2,0,2,0,2,1,0
leandro cabrera,espanyol,La-Liga,2024-2025,29,8,3,0.5760000000000001,19,23,30,35,25,10,199,2
fernando calero,espanyol,La-Liga,2024-2025,13,4,1,0.667,8,10,16,16,9,7,50,1
eduardo camavinga,real madrid,La-Liga,2024-2025,23,16,3,0.5760000000000001,19,26,18,24,8,16,23,0
sergio camello,rayo vallecano,La-Liga,2024-2025,2,5,2,0.667,4,3,4,8,1,7,16,0
jose campana,las palmas,La-Liga,2024-2025,8,11,2,0.55,11,16,19,9,1,8,19,2
peio canales,athletic club,La-Liga,2024-2025,0,1,2,1.0,1,2,2,3,0,3,2,0
antonio candela,valladolid,La-Liga,2024-2025,6,2,1,0.364,4,6,6,11,6,5,33,0
sergi canos,valencia,La-Liga,2024-2025,3,4,4,0.4,4,7,5,6,1,5,5,0
dani cardenas,rayo vallecano,La-Liga,2024-2025,0,0,0,,0,0,0,0,0,0,3,0
irvin cardona,espanyol,La-Liga,2024-2025,2,4,2,0.375,6,5,4,5,1,4,10,0
marc cardona,las palmas,La-Liga,2024-2025,1,3,0,0.0,0,2,0,0,0,0,0,0
sergi cardona,villarreal,La-Liga,2024-2025,44,20,7,0.62,49,48,40,52,7,45,122,1
johnny cardoso,betis,La-Liga,2024-2025,12,35,8,0.385,20,31,48,27,12,15,64,1
jose carlos gonzalez,las palmas,La-Liga,2024-2025,0,0,0,,0,0,0,0,0,0,0,0
carmona,sevilla,La-Liga,2024-2025,53,21,9,0.532,41,59,68,37,11,26,92,3
sergio carreira,celta vigo,La-Liga,2024-2025,16,6,6,0.5379999999999999,14,16,17,20,2,18,37,0
dani carvajal,real madrid,La-Liga,2024-2025,7,3,2,0.75,9,8,10,8,3,5,19,1
william carvalho,betis,La-Liga,2024-2025,3,6,0,0.667,4,6,3,6,2,4,6,0
marc casado,barcelona,La-Liga,2024-2025,7,30,7,0.488,20,25,22,20,5,15,22,1
catena,osasuna,La-Liga,2024-2025,34,10,2,0.614,27,28,35,40,25,15,221,2
maximiliano caufriez,valencia,La-Liga,2024-2025,1,0,0,1.0,1,1,1,2,1,1,4,0
dani ceballos,real madrid,La-Liga,2024-2025,17,18,6,0.5,20,21,14,16,4,12,10,2
franco cervi,celta vigo,La-Liga,2024-2025,2,6,0,0.375,3,3,8,4,0,4,7,0
raul chasco,valladolid,La-Liga,2024-2025,3,1,0,0.5,2,1,2,1,0,1,2,0
pep chavarria,rayo vallecano,La-Liga,2024-2025,30,14,2,0.622,28,36,30,35,9,26,108,1
walid cheddira,espanyol,La-Liga,2024-2025,1,1,3,0.0,0,0,1,4,0,4,6,0
chema,real madrid,La-Liga,2024-2025,0,0,0,,0,0,0,0,0,0,1,0
julian chicco,leganes,La-Liga,2024-2025,3,6,2,0.625,5,7,4,2,0,2,10,0
chiquinho,mallorca,La-Liga,2024-2025,0,1,0,0.0,0,0,2,3,0,3,0,0
andreas christensen,barcelona,La-Liga,2024-2025,4,1,1,1.0,4,4,4,2,0,2,9,0
jasper cillessen,las palmas,La-Liga,2024-2025,1,0,0,0.25,1,0,0,0,0,0,11,2
pathe ciss,rayo vallecano,La-Liga,2024-2025,26,22,1,0.488,20,24,40,31,10,21,61,3
seydouba cisse,leganes,La-Liga,2024-2025,18,27,14,0.46,23,37,12,25,1,24,45,1
silvi clua,girona,La-Liga,2024-2025,4,3,1,0.667,4,7,2,1,0,1,6,0
eray comert,valladolid,La-Liga,2024-2025,15,9,0,0.5710000000000001,12,14,24,28,15,13,75,2
santi comesana,villarreal,La-Liga,2024-2025,44,32,9,0.5529999999999999,42,49,19,56,22,34,56,1
diego conde,villarreal,La-Liga,2024-2025,2,0,0,0.5,2,2,1,0,0,0,9,2
tomas conechny,alaves,La-Liga,2024-2025,6,7,2,0.3329999999999999,9,12,6,14,2,12,10,0
copete,mallorca,La-Liga,2024-2025,18,10,1,0.917,11,17,17,24,16,8,123,2
iker cordoba,valencia,La-Liga,2024-2025,0,0,0,,0,0,0,0,0,0,1,0
angel correa,atletico madrid,La-Liga,2024-2025,4,1,4,0.3329999999999999,5,3,4,10,0,10,8,0
thierry correia,valencia,La-Liga,2024-2025,19,5,3,0.565,13,18,4,10,1,9,18,0
coba da costa,getafe,La-Liga,2024-2025,9,16,4,0.5,13,13,8,24,0,24,10,0
logan costa,villarreal,La-Liga,2024-2025,25,12,1,0.828,24,21,21,25,14,11,115,2
samu costa,mallorca,La-Liga,2024-2025,45,42,3,0.4429999999999999,35,44,32,48,15,33,85,1
thibaut courtois,real madrid,La-Liga,2024-2025,0,0,0,,0,0,1,0,0,0,15,1
juan cruz armada,osasuna,La-Liga,2024-2025,11,13,2,0.625,15,14,9,15,4,11,68,0
juan cruz,leganes,La-Liga,2024-2025,14,16,2,0.486,17,19,13,18,2,16,31,0
pau cubarsi,barcelona,La-Liga,2024-2025,21,10,3,0.633,19,23,16,12,9,3,86,1
cucho,betis,La-Liga,2024-2025,2,5,8,0.545,6,10,7,13,1,12,4,0
arnaut danjuma,villarreal,La-Liga,2024-2025,0,1,1,0.0,0,1,0,1,0,1,0,0
arnaut danjuma,girona,La-Liga,2024-2025,3,3,2,0.286,2,6,2,5,1,4,4,0
sergi darder,mallorca,La-Liga,2024-2025,15,16,9,0.37,17,26,16,19,1,18,23,1
rodrigo de paul,atletico madrid,La-Liga,2024-2025,12,16,5,0.424,14,26,6,25,2,23,15,3
mouctar diakhaby,valencia,La-Liga,2024-2025,8,0,0,0.667,4,3,11,8,6,2,56,0
assane diao,betis,La-Liga,2024-2025,1,3,1,0.444,4,3,0,3,0,3,3,0
moussa diarra,alaves,La-Liga,2024-2025,19,18,3,0.586,17,24,21,15,5,10,46,1
brahim diaz,real madrid,La-Liga,2024-2025,9,13,3,0.368,7,19,4,16,1,15,2,1
daniel diaz,real sociedad,La-Liga,2024-2025,1,0,0,,0,1,0,1,0,1,0,0
pedro diaz,rayo vallecano,La-Liga,2024-2025,7,14,2,0.341,14,15,7,16,0,16,7,1
diego,leganes,La-Liga,2024-2025,0,0,1,0.143,1,1,2,4,1,3,11,0
stole dimitrievski,valencia,La-Liga,2024-2025,0,0,0,,0,0,0,0,0,0,3,1
yan diomande,leganes,La-Liga,2024-2025,1,8,5,0.3329999999999999,5,9,8,8,0,8,6,0
alvaro djalo,athletic club,La-Liga,2024-2025,3,2,3,0.3329999999999999,1,5,1,4,0,4,4,0
djene,getafe,La-Liga,2024-2025,12,11,2,0.375,12,13,21,18,8,10,107,3
marko dmitrovic,leganes,La-Liga,2024-2025,1,0,0,0.5,1,1,0,0,0,0,27,3
marc domenech,mallorca,La-Liga,2024-2025,2,1,1,0.4,2,4,0,2,0,2,2,0
carlos dominguez,celta vigo,La-Liga,2024-2025,14,9,0,0.7140000000000001,15,11,13,16,11,5,80,1
israel dominguez,sevilla,La-Liga,2024-2025,0,0,0,,0,0,0,0,0,0,0,0
sergi dominguez,barcelona,La-Liga,2024-2025,1,0,0,,0,1,3,0,0,0,7,0
anastasios douvikas,celta vigo,La-Liga,2024-2025,2,6,1,0.5,3,4,3,5,2,3,6,0
domingos duarte,getafe,La-Liga,2024-2025,22,4,2,0.81,17,15,18,28,16,12,152,1
duk,leganes,La-Liga,2024-2025,3,3,2,0.6,3,4,1,4,0,4,2,0
pablo duran,celta vigo,La-Liga,2024-2025,4,7,6,0.313,5,9,8,12,3,9,18,0
hugo duro,valencia,La-Liga,2024-2025,4,7,2,0.385,5,8,10,11,2,9,11,0
chidera ejuke,sevilla,La-Liga,2024-2025,8,9,2,0.45,9,13,5,12,0,12,8,0
aritz elustondo,real sociedad,La-Liga,2024-2025,15,3,2,0.579,11,11,11,17,12,5,96,0
adri embarba,rayo vallecano,La-Liga,2024-2025,17,17,7,0.3829999999999999,18,20,13,18,1,17,14,2
endrick,real madrid,La-Liga,2024-2025,1,0,0,0.3329999999999999,1,1,4,0,0,0,1,0
alfonso espino,rayo vallecano,La-Liga,2024-2025,31,8,2,0.5529999999999999,26,24,12,19,6,13,32,1
dario essugo,las palmas,La-Liga,2024-2025,28,26,5,0.609,28,45,42,28,11,17,47,7
etienne etoo,rayo vallecano,La-Liga,2024-2025,0,0,0,0.0,0,0,0,0,0,0,1,0
karl etta,villarreal,La-Liga,2024-2025,0,0,0,0.0,0,0,0,1,0,1,0,0
edu exposito,espanyol,La-Liga,2024-2025,9,13,1,0.391,9,13,15,3,0,3,21,2
abde ezzalzouli,betis,La-Liga,2024-2025,17,16,4,0.556,15,25,7,22,3,19,19,0
ansu fati,barcelona,La-Liga,2024-2025,0,2,2,0.5,1,1,1,1,0,1,0,1
nabil fekir,betis,La-Liga,2024-2025,1,1,1,0.5,1,2,0,2,0,2,0,0
kiko femenia,villarreal,La-Liga,2024-2025,34,14,2,0.579,33,34,40,21,10,11,62,3
aitor fernandez,osasuna,La-Liga,2024-2025,0,0,0,,0,0,0,0,0,0,2,0
alvaro fernandez,sevilla,La-Liga,2024-2025,0,0,0,0.0,0,0,0,0,0,0,7,0
pelayo fernandez,rayo vallecano,La-Liga,2024-2025,0,0,0,,0,0,2,0,0,0,9,0
roberto fernandez,espanyol,La-Liga,2024-2025,2,1,1,0.0,0,4,3,9,1,8,26,0
valery fernandez,mallorca,La-Liga,2024-2025,3,2,3,0.7140000000000001,5,7,0,3,1,2,1,0
andre ferreira,valladolid,La-Liga,2024-2025,0,0,0,,0,0,0,0,0,0,4,2
mateo flores,betis,La-Liga,2024-2025,3,0,0,1.0,1,1,2,1,0,1,3,0
pablo fornals,betis,La-Liga,2024-2025,12,6,3,0.3329999999999999,10,13,23,24,4,20,15,1
hector fort,barcelona,La-Liga,2024-2025,6,4,3,0.625,10,8,6,12,0,12,16,0
dimitri foulquier,valencia,La-Liga,2024-2025,29,13,6,0.667,24,31,16,21,5,16,86,1
juan foyth,villarreal,La-Liga,2024-2025,15,6,4,0.688,11,15,19,26,17,9,119,3
fran,real madrid,La-Liga,2024-2025,0,0,0,,0,0,0,0,0,0,2,0
alejandro frances,girona,La-Liga,2024-2025,22,13,1,0.7,28,24,17,17,8,9,52,0
enric franquesa,leganes,La-Liga,2024-2025,9,6,2,0.6920000000000001,9,9,5,7,1,6,12,0
jorge de frutos,rayo vallecano,La-Liga,2024-2025,16,13,8,0.304,14,21,19,22,0,22,24,1
dario fuentes,sevilla,La-Liga,2024-2025,0,0,0,,0,0,0,0,0,0,0,0
manuel fuster,las palmas,La-Liga,2024-2025,5,8,6,0.536,15,11,4,13,3,10,17,0
javi galan,atletico madrid,La-Liga,2024-2025,31,15,5,0.51,25,31,12,13,3,10,47,0
inigo ruiz de galarreta,athletic club,La-Liga,2024-2025,11,17,8,0.645,20,22,16,11,4,7,14,2
conor gallagher,atletico madrid,La-Liga,2024-2025,16,19,10,0.449,22,32,20,23,5,18,23,0
facundo garces,alaves,La-Liga,2024-2025,4,2,0,0.6,3,2,5,8,6,2,51,0
alvaro garcia,rayo vallecano,La-Liga,2024-2025,19,8,6,0.387,12,24,32,31,0,31,42,1
eric garcia,barcelona,La-Liga,2024-2025,11,24,3,0.69,20,21,14,24,8,16,41,0
fran garcia,real madrid,La-Liga,2024-2025,29,16,6,0.5489999999999999,28,36,28,27,5,22,67,1
gonzalo garcia,real madrid,La-Liga,2024-2025,0,0,0,,0,0,0,1,0,1,0,0
joan garcia,espanyol,La-Liga,2024-2025,0,0,0,0.0,0,0,0,1,0,1,18,4
pablo garcia,betis,La-Liga,2024-2025,0,0,0,,0,0,0,1,0,1,0,0
ruben garcia,osasuna,La-Liga,2024-2025,20,21,11,0.433,26,31,15,37,3,34,34,1
unai garcia,osasuna,La-Liga,2024-2025,0,0,0,,0,0,0,1,0,1,1,0
yarek gasiorowski,valencia,La-Liga,2024-2025,16,3,0,0.6920000000000001,9,16,26,17,6,11,60,0
gavi,barcelona,La-Liga,2024-2025,10,15,5,0.5770000000000001,15,21,10,14,1,13,7,0
paulo gazzaniga,girona,La-Liga,2024-2025,1,0,0,1.0,1,1,0,1,0,1,17,3
bryan gil,girona,La-Liga,2024-2025,10,15,9,0.467,14,20,10,24,0,24,9,4
dani gomez,valencia,La-Liga,2024-2025,0,0,3,,0,2,2,1,0,1,4,0
moi gomez,osasuna,La-Liga,2024-2025,4,7,2,0.5,4,9,6,5,2,3,7,1
sergi gomez,espanyol,La-Liga,2024-2025,7,1,0,0.667,2,5,7,12,8,4,38,0
sergio gomez,real sociedad,La-Liga,2024-2025,30,29,12,0.536,30,39,19,44,3,41,30,2
unai gomez,athletic club,La-Liga,2024-2025,3,7,2,0.5710000000000001,4,8,2,13,1,12,15,1
fabio gonzalez,las palmas,La-Liga,2024-2025,0,0,0,0.0,0,0,0,0,0,0,0,0
peter gonzalez,getafe,La-Liga,2024-2025,2,5,4,0.667,6,6,2,8,0,8,5,0
urko gonzalez,espanyol,La-Liga,2024-2025,24,21,1,0.636,28,28,8,27,12,15,39,1
urko gonzalez,real sociedad,La-Liga,2024-2025,0,0,0,,0,0,0,1,1,0,0,0
andoni gorosabel,athletic club,La-Liga,2024-2025,31,9,7,0.667,30,28,18,18,2,16,62,0
jose gragera,espanyol,La-Liga,2024-2025,11,14,0,0.529,9,16,5,9,1,8,13,0
dominik greif,mallorca,La-Liga,2024-2025,0,0,0,,0,0,0,0,0,0,13,1
antoine griezmann,atletico madrid,La-Liga,2024-2025,13,13,4,0.241,7,17,6,20,1,19,23,1
florian grillitsch,valladolid,La-Liga,2024-2025,7,3,1,0.467,7,7,4,12,2,10,5,1
vicente guaita,celta vigo,La-Liga,2024-2025,0,0,0,,0,0,0,0,0,0,21,3
sergi guardiola,rayo vallecano,La-Liga,2024-2025,0,5,0,0.667,2,3,1,1,0,1,2,0
nemanja gudelj,sevilla,La-Liga,2024-2025,16,22,4,0.6,21,24,27,27,10,17,94,1
javier guerra,valencia,La-Liga,2024-2025,18,21,11,0.4639999999999999,26,27,20,15,3,12,49,3
ander guevara,alaves,La-Liga,2024-2025,19,29,1,0.417,20,30,14,21,5,16,43,1
pape gueye,villarreal,La-Liga,2024-2025,23,23,8,0.69,20,26,27,31,13,18,53,2
hugo guillamon,valencia,La-Liga,2024-2025,1,9,1,0.9,9,8,5,4,1,3,9,1
carlos guirao,betis,La-Liga,2024-2025,1,4,0,0.667,4,3,3,1,1,0,2,0
arda guler,real madrid,La-Liga,2024-2025,11,8,11,0.409,9,16,7,18,0,18,8,0
gerard gumbau,rayo vallecano,La-Liga,2024-2025,8,7,2,0.467,7,12,5,13,4,9,13,0
jon guridi,alaves,La-Liga,2024-2025,7,26,7,0.409,18,22,14,19,1,18,16,0
gorka guruzeta,athletic club,La-Liga,2024-2025,1,13,2,0.226,7,8,9,28,4,24,23,0
miguel gutierrez,girona,La-Liga,2024-2025,18,16,3,0.4589999999999999,17,24,16,17,7,10,34,3
munir el haddadi,leganes,La-Liga,2024-2025,5,4,3,0.25,3,9,1,8,1,7,1,1
sebastien haller,leganes,La-Liga,2024-2025,1,0,1,0.5,1,0,0,1,0,1,7,0
henrique,valladolid,La-Liga,2024-2025,3,2,1,0.25,1,2,3,5,0,5,12,0
javi hernandez,leganes,La-Liga,2024-2025,16,7,3,0.37,17,15,23,25,5,20,98,0
aridane hernandez,rayo vallecano,La-Liga,2024-2025,9,4,0,0.75,6,11,6,10,8,2,99,2
jorge herrando,osasuna,La-Liga,2024-2025,9,5,3,0.6,9,11,12,20,14,6,65,2
ander herrera,athletic club,La-Liga,2024-2025,1,7,0,0.5,3,4,2,1,0,1,10,0
sergio herrera,osasuna,La-Liga,2024-2025,2,0,0,0.3329999999999999,2,1,0,1,0,1,29,1
yangel herrera,girona,La-Liga,2024-2025,31,27,8,0.508,30,39,31,24,8,16,50,2
juan herzog,las palmas,La-Liga,2024-2025,12,0,0,0.563,9,12,18,17,11,6,86,0
omar el hilali,espanyol,La-Liga,2024-2025,81,24,6,0.674,64,79,46,53,13,40,145,2
roger hinojo,espanyol,La-Liga,2024-2025,0,0,0,,0,0,0,0,0,0,1,0
dinko horkas,las palmas,La-Liga,2024-2025,0,0,0,,0,0,0,0,0,0,9,1
pablo ibanez,osasuna,La-Liga,2024-2025,7,12,1,0.25,10,10,18,20,7,13,21,0
stanis idumbo,sevilla,La-Liga,2024-2025,3,4,2,0.6,3,5,4,3,1,2,2,0
iglesias,getafe,La-Liga,2024-2025,42,33,6,0.511,46,47,50,47,8,39,133,1
borja iglesias,celta vigo,La-Liga,2024-2025,2,5,3,0.267,4,9,7,9,2,7,10,0
kelechi iheanacho,sevilla,La-Liga,2024-2025,0,1,0,0.3329999999999999,1,0,0,0,0,0,1,0
isco,betis,La-Liga,2024-2025,3,13,4,0.25,7,13,11,10,0,10,7,0
diego iturralde,sevilla,La-Liga,2024-2025,0,0,0,,0,0,1,0,0,0,1,0
ivan jaime pajuelo,valencia,La-Liga,2024-2025,2,3,3,0.8,4,5,2,2,0,2,0,0
karl jakob hein,valladolid,La-Liga,2024-2025,0,0,0,0.0,0,0,0,0,0,0,19,2
adnan januzaj,las palmas,La-Liga,2024-2025,1,6,3,0.556,5,6,2,6,0,6,3,0
mikel jauregizar,athletic club,La-Liga,2024-2025,25,45,14,0.494,41,48,29,24,4,20,36,2
john joe,getafe,La-Liga,2024-2025,0,0,0,,0,0,0,1,1,0,1,0
