Player,Squad,Liga,Season,Fls,Off,Crosses,Recov,Aerialwon%
luiz lucio reis junior,Villarreal,La-Liga,2024-2025,0,0,0,18,0.857
vinicius junior,Real Madrid,La-Liga,2024-2025,30,10,56,71,0.125
stanko juric,Valladolid,La-Liga,2024-2025,38,0,0,92,0.6940000000000001
willy kambwala,Villarreal,La-Liga,2024-2025,5,0,0,30,0.47100000000000003
abdoulaye keita,Getafe,La-Liga,2024-2025,6,0,1,6,0.5
kenedy,Valladolid,La-Liga,2024-2025,0,0,0,1,
kike,Alavés,La-Liga,2024-2025,49,22,13,90,0.524
koke,Atlético Madrid,La-Liga,2024-2025,23,0,22,122,0.47100000000000003
jules kounde,Barcelona,La-Liga,2024-2025,22,7,63,107,0.5660000000000001
alex kral,Espanyol,La-Liga,2024-2025,31,0,38,127,0.5760000000000001
ladislav krejci,Girona,La-Liga,2024-2025,24,0,11,101,0.696
takefusa kubo,Real Sociedad,La-Liga,2024-2025,21,8,85,118,0.36700000000000005
marash kumbulla,Espanyol,La-Liga,2024-2025,37,0,6,74,0.617
luca de la torre,Celta Vigo,La-Liga,2024-2025,1,0,0,0,0.0
yoel lago,Celta Vigo,La-Liga,2024-2025,16,0,0,22,0.33299999999999996
cyle larin,Mallorca,La-Liga,2024-2025,32,24,6,46,0.434
juanmi latasa,Valladolid,La-Liga,2024-2025,40,7,5,24,0.608
toni lato,Mallorca,La-Liga,2024-2025,12,2,23,30,0.462
robin le normand,Atlético Madrid,La-Liga,2024-2025,35,3,1,82,0.581
florian lejeune,Rayo Vallecano,La-Liga,2024-2025,50,0,8,156,0.605
inigo lekue,Athletic Club,La-Liga,2024-2025,5,0,16,39,0.75
thomas lemar,Atlético Madrid,La-Liga,2024-2025,1,0,3,3,0.0
clement lenglet,Atlético Madrid,La-Liga,2024-2025,29,2,4,74,0.493
robert lewandowski,Barcelona,La-Liga,2024-2025,30,17,5,45,0.48700000000000004
samuel lino,Atlético Madrid,La-Liga,2024-2025,15,3,41,85,0.52
javier llabres,Mallorca,La-Liga,2024-2025,0,1,4,3,1.0
diego llorente,Betis,La-Liga,2024-2025,20,0,1,93,0.631
marcos llorente,Atlético Madrid,La-Liga,2024-2025,23,4,62,131,0.5
giovani lo celso,Betis,La-Liga,2024-2025,13,0,95,76,0.313
enzo loiodice,Las Palmas,La-Liga,2024-2025,10,1,10,29,0.467
david lopez,Mallorca,La-Liga,2024-2025,0,0,0,2,0.28600000000000003
david lopez,Girona,La-Liga,2024-2025,12,1,3,95,0.508
diego lopez,Valencia,La-Liga,2024-2025,21,13,67,105,0.203
fer lopez,Celta Vigo,La-Liga,2024-2025,13,2,2,25,0.182
fermin lopez,Barcelona,La-Liga,2024-2025,27,5,47,66,0.33299999999999996
javi lopez,Real Sociedad,La-Liga,2024-2025,30,1,60,92,0.345
pau lopez,Girona,La-Liga,2024-2025,0,0,0,1,
roberto lopez,Leganés,La-Liga,2024-2025,1,0,24,28,0.16699999999999998
unai lopez,Rayo Vallecano,La-Liga,2024-2025,18,1,33,117,0.35700000000000004
iker losada,Celta Vigo,La-Liga,2024-2025,3,0,5,8,0.222
iker losada,Betis,La-Liga,2024-2025,1,0,4,19,0.429
pol lozano,Espanyol,La-Liga,2024-2025,56,0,19,86,0.385
jose luis gaya,Valencia,La-Liga,2024-2025,28,3,84,93,0.47600000000000003
dodi lukebakio,Sevilla,La-Liga,2024-2025,39,27,124,120,0.462
daniel luna,Mallorca,La-Liga,2024-2025,0,0,3,2,
andriy lunin,Real Madrid,La-Liga,2024-2025,0,0,0,14,1.0
darwin machis,Valladolid,La-Liga,2024-2025,4,2,68,34,0.75
pablo maffeo,Mallorca,La-Liga,2024-2025,22,1,96,107,0.5379999999999999
jon magunazelaia,Real Sociedad,La-Liga,2024-2025,1,0,0,5,1.0
giorgi mamardashvili,Valencia,La-Liga,2024-2025,1,0,0,29,0.667
reinildo mandava,Atlético Madrid,La-Liga,2024-2025,19,1,8,52,0.41700000000000004
javier manquillo,Celta Vigo,La-Liga,2024-2025,9,0,3,18,0.385
marcao,Sevilla,La-Liga,2024-2025,9,0,0,27,0.737
oscar de marcos,Athletic Club,La-Liga,2024-2025,16,1,55,89,0.4
alberto mari,Valencia,La-Liga,2024-2025,1,0,0,0,
jose maria gimenez,Atlético Madrid,La-Liga,2024-2025,13,0,0,78,0.507
arkaitz mariezkurrena,Real Sociedad,La-Liga,2024-2025,13,0,5,10,0.5710000000000001
pablo marin,Real Sociedad,La-Liga,2024-2025,19,0,12,62,0.409
mika marmol,Las Palmas,La-Liga,2024-2025,33,3,57,78,0.5710000000000001
mario maroto,Valladolid,La-Liga,2024-2025,2,0,2,2,0.5
unai marrero,Real Sociedad,La-Liga,2024-2025,0,0,0,1,
carlos martin,Alavés,La-Liga,2024-2025,32,6,24,55,0.441
diego martin,Las Palmas,La-Liga,2024-2025,0,0,4,1,0.0
gerard martin,Barcelona,La-Liga,2024-2025,14,0,36,42,0.7
ivan martin,Girona,La-Liga,2024-2025,21,4,21,110,0.182
jon martin,Real Sociedad,La-Liga,2024-2025,20,0,0,22,0.855
mario martin,Valladolid,La-Liga,2024-2025,50,1,11,83,0.47700000000000004
arnau martinez,Girona,La-Liga,2024-2025,20,2,58,125,0.569
inigo martinez,Barcelona,La-Liga,2024-2025,18,0,8,126,0.637
javi martinez,Osasuna,La-Liga,2024-2025,0,0,0,0,
ramon martinez,Sevilla,La-Liga,2024-2025,1,0,0,5,0.7
toni martinez,Alavés,La-Liga,2024-2025,17,8,7,30,0.537
javi marton,Athletic Club,La-Liga,2024-2025,1,1,0,2,0.667
marvin,Las Palmas,La-Liga,2024-2025,20,0,52,53,0.37
omar mascarell,Mallorca,La-Liga,2024-2025,30,0,5,90,0.638
jaime mata,Las Palmas,La-Liga,2024-2025,20,12,9,18,0.46399999999999997
borja mayoral,Getafe,La-Liga,2024-2025,9,12,9,36,0.293
kylian mbappe,Real Madrid,La-Liga,2024-2025,25,44,35,36,0.4
oliver mcburnie,Las Palmas,La-Liga,2024-2025,32,9,2,40,0.483
scott mckenna,Las Palmas,La-Liga,2024-2025,13,1,2,69,0.659
mateo mejia,Sevilla,La-Liga,2024-2025,0,0,0,0,1.0
arthur melo,Girona,La-Liga,2024-2025,16,0,7,49,0.0
brais mendez,Real Sociedad,La-Liga,2024-2025,41,9,52,76,0.4
ferland mendy,Real Madrid,La-Liga,2024-2025,5,0,1,36,0.667
nobel mendy,Betis,La-Liga,2024-2025,1,0,0,7,1.0
