Player,Squad,Liga,Season,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle
mohamed haj,Parma,Serie-A,2024-2025,30,86,95,18,207,14,0.28600000000000003,10,0.7140000000000001,192,3,4,10,1
ridgeciano haps,Venezia,Serie-A,2024-2025,250,328,169,26,738,15,0.33299999999999996,6,0.4,1161,12,7,13,6
abdou harroui,Hellas Verona,Serie-A,2024-2025,41,144,105,17,283,20,0.3,13,0.65,631,20,4,12,10
liam henderson,Empoli,Serie-A,2024-2025,229,697,279,16,1197,11,0.545,3,0.273,909,17,4,22,9
mario hermoso,Roma,Serie-A,2024-2025,97,113,18,1,227,3,0.667,1,0.33299999999999996,250,1,0,0,1
theo hernandez,Milan,Serie-A,2024-2025,510,850,565,59,1900,55,0.436,23,0.418,3910,58,25,32,20
hernani,Parma,Serie-A,2024-2025,160,409,231,16,779,24,0.33299999999999996,7,0.292,1237,35,3,23,12
isak hien,Atalanta,Serie-A,2024-2025,766,752,40,15,1546,11,0.545,3,0.273,1781,8,1,23,9
emil holm,Bologna,Serie-A,2024-2025,269,384,266,26,909,25,0.4,10,0.4,1188,18,5,26,14
mats hummels,Roma,Serie-A,2024-2025,222,313,29,10,560,6,0.667,2,0.33299999999999996,637,9,0,0,1
elseid hysaj,Lazio,Serie-A,2024-2025,85,149,89,10,318,6,0.5,3,0.5,262,6,1,5,0
arijon ibrahimovic,Lazio,Serie-A,2024-2025,0,3,3,0,6,0,,0,,0,0,0,0,0
jay idzes,Venezia,Serie-A,2024-2025,1067,890,128,33,2078,7,0.14300000000000002,5,0.7140000000000001,2738,12,0,31,7
jonathan ikone,Como,Serie-A,2024-2025,26,110,125,31,257,29,0.276,20,0.69,612,11,12,9,14
jonathan ikone,Fiorentina,Serie-A,2024-2025,21,52,79,19,148,17,0.41200000000000003,9,0.529,399,9,4,4,7
ivan ilic,Torino,Serie-A,2024-2025,73,373,177,11,619,15,0.4,4,0.267,997,18,1,19,9
samuel ilingjunior,Bologna,Serie-A,2024-2025,7,31,73,6,110,7,0.429,4,0.5710000000000001,190,4,1,3,1
alessio iovine,Como,Serie-A,2024-2025,86,120,62,4,266,1,1.0,0,0.0,339,8,2,1,0
gustav isaksen,Lazio,Serie-A,2024-2025,105,393,609,120,1084,105,0.419,46,0.43799999999999994,2521,56,53,46,31
ardian ismajli,Empoli,Serie-A,2024-2025,881,531,8,7,1410,0,,0,,1078,2,0,8,3
armando izzo,Monza,Serie-A,2024-2025,1037,652,93,14,1768,9,0.667,2,0.222,2241,14,0,21,6
fellipe jack,Como,Serie-A,2024-2025,74,48,5,1,127,1,0.0,1,1.0,188,1,0,5,0
ali jasim,Como,Serie-A,2024-2025,6,4,1,0,11,0,,0,,36,0,0,0,0
gaby jean,Lecce,Serie-A,2024-2025,580,396,22,3,992,3,0.667,1,0.33299999999999996,1296,1,0,5,5
juan jesus,Napoli,Serie-A,2024-2025,392,555,8,3,952,0,,0,,1243,2,0,4,1
alejandro jimenez,Milan,Serie-A,2024-2025,184,305,253,37,729,47,0.5529999999999999,20,0.426,1649,26,17,27,13
orir johann helgason,Lecce,Serie-A,2024-2025,59,215,225,24,491,14,0.5710000000000001,6,0.429,625,7,2,26,10
jesse joronen,Venezia,Serie-A,2024-2025,327,0,0,0,327,0,,0,,567,0,0,0,0
luka jovic,Milan,Serie-A,2024-2025,13,106,56,18,171,7,0.5710000000000001,2,0.28600000000000003,193,3,1,9,6
mohamed kaba,Lecce,Serie-A,2024-2025,63,139,39,6,240,6,0.33299999999999996,3,0.5,243,4,0,13,5
christian kabasele,Udinese,Serie-A,2024-2025,337,328,51,23,715,1,1.0,0,0.0,1020,7,0,9,3
pierre kalulu,Juventus,Serie-A,2024-2025,924,1197,165,17,2275,11,0.364,5,0.455,5089,36,2,19,7
hassane kamara,Udinese,Serie-A,2024-2025,363,509,384,24,1241,46,0.391,21,0.457,1617,37,5,24,10
yann karamoh,Torino,Serie-A,2024-2025,49,161,205,49,412,38,0.316,22,0.579,1023,27,21,26,26
jesper karlsson,Bologna,Serie-A,2024-2025,14,48,68,6,128,6,0.33299999999999996,3,0.5,207,8,0,6,9
jesper karlsson,Lecce,Serie-A,2024-2025,25,77,101,9,201,9,0.667,3,0.33299999999999996,290,10,1,10,6
jesper karlstrom,Udinese,Serie-A,2024-2025,534,1134,232,24,1882,15,0.4,9,0.6,2204,26,4,34,18
lior kasa,Genoa,Serie-A,2024-2025,26,54,33,6,111,5,0.2,2,0.4,124,3,0,6,1
grigoris kastanos,Hellas Verona,Serie-A,2024-2025,69,218,156,14,438,15,0.0,14,0.9329999999999999,499,10,1,8,10
michael kayode,Fiorentina,Serie-A,2024-2025,30,34,24,2,88,6,0.5,0,0.0,96,1,1,1,3
moise kean,Fiorentina,Serie-A,2024-2025,49,306,366,132,698,101,0.436,49,0.485,1078,28,32,97,53
mandela keita,Parma,Serie-A,2024-2025,252,546,126,0,907,31,0.5479999999999999,9,0.29,1136,18,0,30,18
lloyd kelly,Juventus,Serie-A,2024-2025,323,383,95,18,797,1,0.0,1,1.0,1160,9,0,9,3
marcoliver kempf,Como,Serie-A,2024-2025,1004,932,85,26,2010,5,0.8,1,0.2,2703,8,1,12,5
kialonda,Lecce,Serie-A,2024-2025,772,412,54,32,1229,10,0.8,2,0.2,1043,3,1,14,1
magnus kofod andersen,Venezia,Serie-A,2024-2025,82,205,90,8,370,4,0.5,1,0.25,496,6,0,8,6
sead kolasinac,Atalanta,Serie-A,2024-2025,483,761,230,27,1458,15,0.2,12,0.8,2812,52,2,17,16
randal kolo muani,Juventus,Serie-A,2024-2025,27,147,193,71,363,44,0.409,24,0.545,468,10,14,41,23
ismael konate,Empoli,Serie-A,2024-2025,10,20,22,4,51,2,1.0,0,0.0,74,2,2,5,1
manu kone,Roma,Serie-A,2024-2025,244,969,374,40,1555,72,0.41700000000000004,27,0.375,2923,66,13,54,45
teun koopmeiners,Juventus,Serie-A,2024-2025,180,529,468,50,1170,22,0.455,11,0.5,1266,28,5,40,16
odilon kossounou,Atalanta,Serie-A,2024-2025,274,426,93,15,790,12,0.41700000000000004,7,0.583,1135,7,4,12,3
christian kouame,Fiorentina,Serie-A,2024-2025,28,127,132,35,286,20,0.35,11,0.55,288,6,3,17,13
christian kouame,Empoli,Serie-A,2024-2025,10,104,105,22,217,13,0.385,7,0.5379999999999999,245,4,1,13,7
viktor kovalenko,Empoli,Serie-A,2024-2025,8,24,12,3,44,1,1.0,0,0.0,43,0,0,1,2
mateusz kowalski,Parma,Serie-A,2024-2025,2,10,6,2,18,0,,0,,10,0,0,2,2
thomas kristensen,Udinese,Serie-A,2024-2025,464,612,79,14,1144,13,0.769,3,0.231,1772,13,1,16,9
nikola krstovic,Lecce,Serie-A,2024-2025,63,476,526,152,1048,65,0.262,43,0.662,1162,22,24,86,40
khvicha kvaratskhelia,Napoli,Serie-A,2024-2025,55,275,342,74,658,72,0.264,42,0.583,1912,51,37,25,21
giorgos kyriakopoulos,Monza,Serie-A,2024-2025,494,655,559,33,1692,43,0.37200000000000005,16,0.37200000000000005,2772,52,11,27,17
mathis lambourde,Hellas Verona,Serie-A,2024-2025,9,12,17,4,38,3,0.33299999999999996,2,0.667,19,1,1,3,6
gianluca lapadula,Cagliari,Serie-A,2024-2025,6,32,58,22,96,2,1.0,0,0.0,112,2,5,6,1
valentino lazaro,Torino,Serie-A,2024-2025,237,616,528,27,1368,37,0.37799999999999995,20,0.541,1385,36,7,33,12
darko lazovic,Hellas Verona,Serie-A,2024-2025,146,250,269,29,658,22,0.318,13,0.591,776,14,7,13,10
manuel lazzari,Lazio,Serie-A,2024-2025,179,409,319,17,896,24,0.625,6,0.25,2123,61,6,27,7
enzo le fee,Roma,Serie-A,2024-2025,46,189,66,6,297,8,0.5,2,0.25,684,12,1,4,4
nicola leali,Genoa,Serie-A,2024-2025,985,14,0,0,999,0,,0,,1480,0,0,0,0
rafael leao,Milan,Serie-A,2024-2025,71,455,636,152,1135,129,0.457,59,0.457,3058,71,67,53,36
stefan lekovic,Monza,Serie-A,2024-2025,108,101,17,2,225,3,0.667,1,0.33299999999999996,237,0,0,3,0
nunzio lella,Venezia,Serie-A,2024-2025,0,1,0,0,1,0,,0,,0,0,0,0,0
giovanni leoni,Parma,Serie-A,2024-2025,412,338,27,5,774,3,1.0,0,0.0,802,2,0,6,2
ben lhassine kone,Como,Serie-A,2024-2025,8,22,6,0,35,1,1.0,0,0.0,17,0,0,5,5
mattia liberali,Milan,Serie-A,2024-2025,1,21,16,2,38,1,0.0,0,0.0,71,0,0,1,2
karol linetty,Torino,Serie-A,2024-2025,188,429,127,13,732,21,0.33299999999999996,12,0.5710000000000001,872,21,2,17,9
dailon livramento,Hellas Verona,Serie-A,2024-2025,29,109,177,39,307,25,0.24,17,0.68,524,11,9,30,12
stanislav lobotka,Napoli,Serie-A,2024-2025,546,1144,294,9,1967,11,0.727,3,0.273,2074,24,2,13,12
manuel locatelli,Juventus,Serie-A,2024-2025,711,1654,408,18,2751,22,0.364,13,0.591,3661,40,1,25,8
ruben loftuscheek,Milan,Serie-A,2024-2025,110,346,146,25,593,23,0.478,8,0.348,1205,20,9,20,7
ademola lookman,Atalanta,Serie-A,2024-2025,68,400,824,199,1273,104,0.35600000000000004,64,0.615,3170,70,81,72,51
sandi lovric,Udinese,Serie-A,2024-2025,237,640,406,38,1258,48,0.43799999999999994,25,0.521,1969,45,7,53,28
lorenzo lucca,Udinese,Serie-A,2024-2025,57,335,259,109,640,25,0.48,11,0.44,483,18,9,73,29
jhon lucumi,Bologna,Serie-A,2024-2025,886,1330,97,22,2294,14,0.7140000000000001,2,0.14300000000000002,4142,23,0,13,4
jose luis palomino,Cagliari,Serie-A,2024-2025,417,265,31,5,707,1,0.0,1,1.0,735,4,0,3,1
douglas luiz,Juventus,Serie-A,2024-2025,95,261,135,8,487,14,0.7859999999999999,3,0.214,916,10,0,8,7
romelu lukaku,Napoli,Serie-A,2024-2025,34,306,388,143,721,26,0.231,18,0.6920000000000001,677,13,23,55,53
sebastiano luperto,Cagliari,Serie-A,2024-2025,1065,777,81,29,1913,6,0.16699999999999998,4,0.667,2539,15,2,12,3
zito luvumbo,Cagliari,Serie-A,2024-2025,44,166,277,67,477,63,0.397,25,0.397,1426,21,35,67,29
charalampos lykogiannis,Bologna,Serie-A,2024-2025,216,362,237,11,810,8,0.5,2,0.25,611,8,1,7,3
mathias lvik,Parma,Serie-A,2024-2025,19,33,19,2,70,4,0.5,2,0.5,56,1,0,6,1
giangiacomo magnani,Hellas Verona,Serie-A,2024-2025,276,240,30,14,540,4,0.25,3,0.75,516,6,0,4,1
mike maignan,Milan,Serie-A,2024-2025,1606,30,0,0,1635,1,1.0,0,0.0,3456,0,0,1,0
antoine makoumbou,Cagliari,Serie-A,2024-2025,452,714,210,4,1367,19,0.526,8,0.42100000000000004,1324,18,0,17,24
daniel maldini,Monza,Serie-A,2024-2025,70,287,242,41,584,72,0.41700000000000004,37,0.514,1287,31,10,36,31
daniel maldini,Atalanta,Serie-A,2024-2025,10,63,68,24,140,18,0.33299999999999996,10,0.556,301,8,10,8,5
youssef maleh,Empoli,Serie-A,2024-2025,167,432,158,15,744,13,0.308,6,0.462,557,11,1,25,10
ruslan malinovskyi,Genoa,Serie-A,2024-2025,43,134,66,0,242,4,0.75,1,0.25,244,9,0,7,5
dennis man,Parma,Serie-A,2024-2025,100,426,517,87,1027,75,0.33299999999999996,45,0.6,1914,40,31,44,31
gianluca mancini,Roma,Serie-A,2024-2025,906,1133,208,42,2240,9,0.111,4,0.444,3350,44,3,10,8
christos mandas,Lazio,Serie-A,2024-2025,339,13,0,0,351,0,,0,,754,0,0,0,1
rolando mandragora,Fiorentina,Serie-A,2024-2025,249,637,246,24,1118,14,0.5,6,0.429,964,16,0,11,4
alberto manzoni,Atalanta,Serie-A,2024-2025,3,10,1,0,14,0,,0,,12,0,0,0,0
alessandro marcandalli,Genoa,Serie-A,2024-2025,17,6,1,0,24,0,,0,,4,1,0,0,0
alessandro marcandalli,Venezia,Serie-A,2024-2025,84,105,12,4,200,1,0.0,1,1.0,156,2,0,4,0
filip marchwinski,Lecce,Serie-A,2024-2025,0,2,3,0,5,0,,0,,1,0,0,0,0
pablo mari,Monza,Serie-A,2024-2025,753,534,12,5,1296,6,1.0,0,0.0,1700,4,0,4,5
pablo mari,Fiorentina,Serie-A,2024-2025,447,319,21,5,784,1,0.0,1,1.0,596,4,0,0,2
luca marianucci,Empoli,Serie-A,2024-2025,290,286,35,5,609,10,0.5,3,0.3,722,5,0,7,3
mirko maric,Monza,Serie-A,2024-2025,9,26,19,6,54,1,1.0,0,0.0,51,0,0,3,1
mirko maric,Venezia,Serie-A,2024-2025,24,79,60,12,161,6,0.33299999999999996,4,0.667,136,5,0,12,5
rafa marin,Napoli,Serie-A,2024-2025,56,72,4,2,131,0,,0,,188,2,0,1,0
razvan marin,Cagliari,Serie-A,2024-2025,168,462,241,22,858,24,0.542,11,0.45799999999999996,1106,19,4,18,16
guillermo maripan,Torino,Serie-A,2024-2025,770,822,56,23,1636,8,0.25,6,0.75,2538,11,2,19,5
aaron martin,Genoa,Serie-A,2024-2025,566,802,608,20,1951,27,0.444,12,0.444,2293,31,4,22,17
josep martinez,Inter,Serie-A,2024-2025,245,1,0,0,246,0,,0,,344,0,0,0,0
lautaro martinez,Inter,Serie-A,2024-2025,84,413,494,162,981,47,0.36200000000000004,25,0.532,1101,27,12,70,54
lucas martinez quarta,Fiorentina,Serie-A,2024-2025,157,139,21,6,316,2,1.0,0,0.0,589,2,1,5,1
kevin martins,Monza,Serie-A,2024-2025,30,30,22,2,80,6,0.667,2,0.33299999999999996,144,2,2,8,1
adam marusic,Lazio,Serie-A,2024-2025,410,697,341,31,1433,23,0.435,12,0.522,1263,27,0,12,13
adam masina,Torino,Serie-A,2024-2025,660,768,80,12,1502,12,0.5,6,0.5,2121,9,1,12,8
patrizio masini,Genoa,Serie-A,2024-2025,211,514,165,22,878,25,0.4,9,0.36,744,16,1,25,12
alan matturro,Genoa,Serie-A,2024-2025,243,170,47,9,458,5,0.6,2,0.4,646,5,1,6,3
andrea mazza,Monza,Serie-A,2024-2025,7,0,0,0,7,0,,0,,17,0,0,0,0
luca mazzitelli,Como,Serie-A,2024-2025,56,134,49,10,235,5,0.8,1,0.2,245,5,0,3,5
pasquale mazzocchi,Napoli,Serie-A,2024-2025,118,145,129,10,385,17,0.588,4,0.235,707,13,2,13,11
samuel mbangula,Juventus,Serie-A,2024-2025,46,147,159,20,349,27,0.33299999999999996,13,0.48100000000000004,711,11,7,13,10
weston mckennie,Juventus,Serie-A,2024-2025,259,593,508,57,1350,34,0.588,11,0.324,1353,31,7,41,26
scott mctominay,Napoli,Serie-A,2024-2025,236,718,384,106,1314,88,0.44299999999999995,35,0.39799999999999996,1993,40,15,68,48
filippo melegoni,Genoa,Serie-A,2024-2025,12,8,7,1,27,2,0.5,1,0.5,28,1,0,3,1
alex meret,Napoli,Serie-A,2024-2025,1284,6,0,0,1290,0,,0,,1930,0,0,1,0
junior messias,Genoa,Serie-A,2024-2025,63,192,151,18,396,44,0.22699999999999998,25,0.568,1027,26,5,34,5
valentin mihaila,Parma,Serie-A,2024-2025,58,226,311,31,582,27,0.37,14,0.519,835,26,11,29,20
vanja milinkovicsavic,Torino,Serie-A,2024-2025,1706,32,0,0,1737,0,,0,,3843,0,0,1,1
yerry mina,Cagliari,Serie-A,2024-2025,1047,686,89,43,1797,8,0.375,2,0.25,2737,11,0,20,13
juan miranda,Bologna,Serie-A,2024-2025,588,848,655,20,2080,20,0.35,12,0.6,1792,27,4,23,8
fabio miretti,Genoa,Serie-A,2024-2025,137,407,316,56,847,73,0.342,38,0.521,1209,22,14,63,36
henrikh mkhitaryan,Inter,Serie-A,2024-2025,259,954,541,44,1747,26,0.26899999999999996,19,0.731,2799,56,13,27,15
rui modesto,Udinese,Serie-A,2024-2025,76,165,153,14,388,8,0.375,5,0.625,518,6,4,9,3
lorenzo montipo,Hellas Verona,Serie-A,2024-2025,1150,20,0,0,1170,0,,0,,1873,0,0,1,0
alvaro morata,Milan,Serie-A,2024-2025,34,180,170,61,383,17,0.353,7,0.41200000000000003,519,13,7,24,16
alberto moreno,Como,Serie-A,2024-2025,391,563,283,17,1224,7,0.429,3,0.429,1350,30,4,18,3
matias moreno,Fiorentina,Serie-A,2024-2025,41,48,10,1,98,3,1.0,0,0.0,145,0,0,1,1
tete morente,Lecce,Serie-A,2024-2025,146,465,388,40,983,55,0.545,22,0.4,1689,43,6,43,15
nikola moro,Bologna,Serie-A,2024-2025,148,579,201,3,923,12,0.583,4,0.33299999999999996,968,11,0,11,4
daniel mosquera,Hellas Verona,Serie-A,2024-2025,36,246,236,74,509,25,0.64,8,0.32,490,15,9,43,17
dany mota,Monza,Serie-A,2024-2025,85,376,368,80,820,39,0.33299999999999996,22,0.564,1295,29,12,63,29
bob murphy omoregbe,Milan,Serie-A,2024-2025,0,0,2,1,2,0,,0,,9,0,0,0,0
yunus musah,Milan,Serie-A,2024-2025,144,468,293,37,888,37,0.568,12,0.324,2074,44,12,46,13
juan musso,Atalanta,Serie-A,2024-2025,35,0,0,0,35,0,,0,,48,0,0,0,0
kingstone mutandwa,Cagliari,Serie-A,2024-2025,4,24,16,4,44,3,0.33299999999999996,2,0.667,41,1,0,7,0
obite ndicka,Roma,Serie-A,2024-2025,1348,1401,85,26,2823,3,0.0,2,0.667,4009,19,0,20,3
konan ndri,Lecce,Serie-A,2024-2025,5,36,82,9,122,20,0.35,9,0.45,424,13,2,11,8
michel ndary adopo,Cagliari,Serie-A,2024-2025,268,713,254,32,1222,42,0.452,20,0.47600000000000003,1212,21,1,39,26
cher ndour,Fiorentina,Serie-A,2024-2025,50,146,72,8,265,4,0.5,1,0.25,388,7,1,5,6
dan ndoye,Bologna,Serie-A,2024-2025,74,410,560,105,1019,96,0.385,43,0.44799999999999995,3035,54,50,82,46
victor nelsson,Roma,Serie-A,2024-2025,61,73,8,2,141,1,1.0,0,0.0,149,0,0,4,0
david neres,Napoli,Serie-A,2024-2025,73,287,388,60,724,75,0.44,36,0.48,1903,37,30,38,23
cyril ngonge,Napoli,Serie-A,2024-2025,14,58,74,10,145,21,0.33299999999999996,10,0.47600000000000003,276,5,4,4,7
hans nicolussi caviglia,Venezia,Serie-A,2024-2025,389,997,375,11,1739,50,0.34,29,0.58,1704,24,1,40,37
oliver nielsen,Lazio,Serie-A,2024-2025,9,12,2,0,23,0,,0,,11,0,0,0,0
eybi nije,Torino,Serie-A,2024-2025,21,61,86,14,167,19,0.368,11,0.579,276,7,5,14,9
brooke nortoncuffy,Genoa,Serie-A,2024-2025,104,175,70,8,344,20,0.35,11,0.55,480,12,3,14,9
tijjani noslin,Lazio,Serie-A,2024-2025,31,150,167,47,347,19,0.42100000000000004,10,0.526,495,12,6,24,13
adam obert,Cagliari,Serie-A,2024-2025,309,312,105,13,710,14,0.35700000000000004,9,0.643,797,9,0,26,7
jens odgaard,Bologna,Serie-A,2024-2025,60,340,368,68,759,53,0.28300000000000003,29,0.547,1024,26,12,56,33
noah okafor,Milan,Serie-A,2024-2025,10,62,97,28,163,25,0.48,11,0.44,563,11,10,12,9
noah okafor,Napoli,Serie-A,2024-2025,7,10,13,6,29,7,0.28600000000000003,4,0.5710000000000001,117,2,3,2,2
yllan okou,Hellas Verona,Serie-A,2024-2025,2,0,1,0,3,0,,0,,1,0,0,0,0
maduka okoye,Udinese,Serie-A,2024-2025,930,10,0,0,940,0,,0,,1484,0,0,0,0
mathias olivera,Napoli,Serie-A,2024-2025,639,962,295,42,1884,16,0.313,9,0.563,2527,23,6,27,13
jean onana,Genoa,Serie-A,2024-2025,49,115,20,1,183,4,0.5,1,0.25,65,1,0,6,7
jacob ondrejka,Parma,Serie-A,2024-2025,30,73,91,19,192,8,0.75,1,0.125,352,11,8,10,3
gaetano oristanio,Venezia,Serie-A,2024-2025,70,300,416,88,757,123,0.447,59,0.48,2046,48,30,80,72
riccardo orsolini,Bologna,Serie-A,2024-2025,85,349,494,88,913,73,0.452,35,0.479,1777,27,25,48,25
yordan osorio,Parma,Serie-A,2024-2025,73,63,5,1,141,0,,0,,180,0,0,1,0
sebastian otoa,Genoa,Serie-A,2024-2025,56,31,1,0,88,0,,0,,36,0,0,2,1
remi oudin,Lecce,Serie-A,2024-2025,34,75,61,2,168,6,0.5,3,0.5,139,5,0,5,3
cheick oumar conde,Venezia,Serie-A,2024-2025,22,43,17,3,80,5,0.4,2,0.4,86,4,0,2,5
daniel oyegoke,Hellas Verona,Serie-A,2024-2025,21,17,27,1,65,3,0.667,1,0.33299999999999996,42,0,0,2,2
daniele padelli,Udinese,Serie-A,2024-2025,22,0,0,0,22,0,,0,,19,0,0,0,0
simone pafundi,Udinese,Serie-A,2024-2025,8,47,41,1,95,7,0.14300000000000002,2,0.28600000000000003,131,9,0,2,1
tomas palacios,Monza,Serie-A,2024-2025,229,178,16,1,417,9,0.889,1,0.111,683,1,0,3,4
tomas palacios,Inter,Serie-A,2024-2025,2,12,1,0,15,0,,0,,32,0,0,0,0
alberto paleari,Torino,Serie-A,2024-2025,37,0,0,0,37,0,,0,,65,0,0,0,0
marco palestra,Atalanta,Serie-A,2024-2025,30,54,53,12,137,12,0.33299999999999996,5,0.41700000000000004,411,6,6,3,1
matteo palma,Udinese,Serie-A,2024-2025,3,6,0,0,9,0,,0,,4,0,0,0,0
leandro paredes,Roma,Serie-A,2024-2025,357,827,208,5,1379,3,1.0,0,0.0,2020,16,0,6,1
fabiano parisi,Fiorentina,Serie-A,2024-2025,198,263,159,16,607,26,0.385,11,0.423,1128,17,10,18,16
mario pasalic,Atalanta,Serie-A,2024-2025,278,923,391,70,1579,18,0.278,12,0.667,2729,52,6,24,22
patric,Lazio,Serie-A,2024-2025,203,230,19,4,449,0,,0,,779,2,0,2,0
rui patricio,Atalanta,Serie-A,2024-2025,107,0,0,0,107,0,,0,,197,0,0,0,0
benjamin pavard,Inter,Serie-A,2024-2025,479,657,162,35,1291,2,0.0,1,0.5,2133,20,1,5,1
strahinja pavlovic,Milan,Serie-A,2024-2025,758,747,97,18,1589,12,0.33299999999999996,4,0.33299999999999996,3662,29,0,18,4
leonardo pavoletti,Cagliari,Serie-A,2024-2025,15,107,104,28,225,1,0.0,0,0.0,63,2,0,18,2
martin payero,Udinese,Serie-A,2024-2025,86,351,230,26,649,70,0.429,31,0.44299999999999995,1094,35,6,27,13
nicolas paz,Como,Serie-A,2024-2025,225,821,667,85,1682,135,0.511,58,0.43,2878,62,16,101,45
marcus pedersen,Torino,Serie-A,2024-2025,151,263,250,27,655,25,0.28,18,0.72,1118,24,9,22,12
pedro,Lazio,Serie-A,2024-2025,69,343,319,61,720,32,0.5,11,0.344,1575,25,15,20,21
pietro pellegri,Empoli,Serie-A,2024-2025,7,66,58,14,128,14,0.35700000000000004,7,0.5,215,6,6,16,15
lorenzo pellegrini,Roma,Serie-A,2024-2025,108,400,328,53,824,27,0.40700000000000003,16,0.593,1185,27,5,26,16
luca pellegrini,Lazio,Serie-A,2024-2025,196,382,285,15,851,28,0.39299999999999996,16,0.5710000000000001,1067,23,4,17,9
mateo pellegrino,Parma,Serie-A,2024-2025,18,123,125,39,263,9,0.33299999999999996,5,0.556,214,5,3,29,16
andy pelmard,Lecce,Serie-A,2024-2025,23,20,7,0,48,1,1.0,0,0.0,24,1,0,0,0
sergiu perciun,Torino,Serie-A,2024-2025,11,24,37,6,72,5,0.4,2,0.4,87,0,2,6,1
pedro pereira,Monza,Serie-A,2024-2025,508,596,311,33,1409,25,0.56,11,0.44,2063,37,7,25,18
gaston pereiro,Genoa,Serie-A,2024-2025,3,6,8,2,17,0,,0,,6,0,0,0,0
kike perez,Venezia,Serie-A,2024-2025,164,397,244,10,793,28,0.46399999999999997,13,0.46399999999999997,1111,19,2,24,22
nehuen perez,Udinese,Serie-A,2024-2025,41,31,4,1,74,1,1.0,0,0.0,78,1,1,0,0
simone perilli,Hellas Verona,Serie-A,2024-2025,55,1,0,0,56,0,,0,,165,0,0,0,0
mattia perin,Juventus,Serie-A,2024-2025,185,0,0,0,185,0,,0,,460,0,0,0,0
maximo perrone,Como,Serie-A,2024-2025,372,932,205,15,1502,8,0.375,5,0.625,1660,18,1,20,16
matteo pessina,Monza,Serie-A,2024-2025,155,317,91,5,559,10,0.5,3,0.3,735,10,1,9,13
andrea petagna,Monza,Serie-A,2024-2025,15,51,34,12,100,4,0.5,2,0.5,96,3,1,9,4
giuseppe pezzella,Empoli,Serie-A,2024-2025,448,630,521,33,1579,51,0.33299999999999996,24,0.47100000000000003,2076,33,12,46,32
roberto piccoli,Cagliari,Serie-A,2024-2025,76,468,385,144,918,63,0.222,41,0.6509999999999999,774,27,14,114,46
nicholas pierini,Venezia,Serie-A,2024-2025,6,10,12,3,28,1,0.0,1,1.0,21,1,0,2,3
santiago pierotti,Lecce,Serie-A,2024-2025,148,322,279,81,730,49,0.449,26,0.531,1103,25,21,60,33
balthazar pierret,Lecce,Serie-A,2024-2025,236,667,130,13,1020,24,0.542,6,0.25,1041,11,1,25,10
andrea pinamonti,Genoa,Serie-A,2024-2025,77,531,349,116,951,23,0.478,12,0.522,557,12,11,67,34
nicola pintus,Cagliari,Serie-A,2024-2025,3,0,0,0,3,0,,0,,0,0,0,0,0
niccolo pisilli,Roma,Serie-A,2024-2025,101,417,205,34,718,14,0.35700000000000004,6,0.429,921,16,6,27,15
damian pizarro,Udinese,Serie-A,2024-2025,0,2,1,0,3,0,,0,,0,0,0,0,0
semuel pizzignacco,Monza,Serie-A,2024-2025,336,3,1,0,340,0,,0,,622,0,0,0,0
tommaso pobega,Bologna,Serie-A,2024-2025,106,368,141,20,608,8,0.375,4,0.5,517,10,2,13,6
joel pohjanpalo,Venezia,Serie-A,2024-2025,67,240,187,66,487,10,0.3,7,0.7,367,7,4,23,11
matteo politano,Napoli,Serie-A,2024-2025,233,533,804,90,1561,80,0.4,36,0.45,3264,57,38,47,24
marin pongracic,Fiorentina,Serie-A,2024-2025,494,399,42,6,922,14,0.643,4,0.28600000000000003,1465,13,1,10,7
stefan posch,Bologna,Serie-A,2024-2025,186,290,133,13,602,11,0.273,8,0.727,581,8,1,9,12
stefan posch,Atalanta,Serie-A,2024-2025,113,142,46,4,299,2,0.5,1,0.5,728,7,0,3,5
matteo prati,Cagliari,Serie-A,2024-2025,89,177,48,3,313,11,0.273,6,0.545,244,3,0,4,2
ivan provedel,Lazio,Serie-A,2024-2025,1135,33,0,0,1167,0,,0,,2307,0,0,0,0
diego pugno,Juventus,Serie-A,2024-2025,0,2,3,0,4,1,0.0,1,1.0,3,1,0,0,0
christian pulisic,Milan,Serie-A,2024-2025,156,524,709,128,1363,87,0.44799999999999995,36,0.414,3406,75,37,57,40
ionut radu,Venezia,Serie-A,2024-2025,586,1,0,0,587,1,1.0,0,0.0,1207,0,0,1,0
hamza rafia,Lecce,Serie-A,2024-2025,132,367,164,12,651,22,0.455,7,0.318,662,16,2,21,20
antonio raimondo,Venezia,Serie-A,2024-2025,2,15,19,5,34,0,,0,,37,4,1,5,3
ylber ramadani,Lecce,Serie-A,2024-2025,346,587,123,8,1038,24,0.542,11,0.45799999999999996,902,11,2,21,22
luca ranieri,Fiorentina,Serie-A,2024-2025,1078,979,81,16,2124,19,0.474,9,0.474,3027,19,2,10,3
giacomo raspadori,Napoli,Serie-A,2024-2025,62,246,247,54,549,14,0.643,3,0.214,502,6,5,25,9
