Player,Squad,Liga,Season,Born,MP,Starts,Min,Gls,Ast,YellowC,RedC,PrgC,PrgP,PrgR
amath,Valladolid,La-Liga,2024-2025,1996.0,13,5,375,0,1,1,0,10,12,29
marcos andre,Valladolid,La-Liga,2024-2025,1996.0,22,14,1188,1,2,5,0,11,16,39
leandro antonetti,Sevilla,La-Liga,2024-2025,2003.0,2,0,28,0,0,0,0,1,0,3
antoniu,Espanyol,La-Liga,2024-2025,2002.0,26,13,1022,0,1,3,0,35,28,63
antony,Betis,La-Liga,2024-2025,2000.0,17,15,1362,5,2,2,1,94,67,157
anuar,Valladolid,La-Liga,2024-2025,1995.0,26,21,1720,2,0,7,0,24,30,68
aritz arambarri,Leganés,La-Liga,2024-2025,1998.0,2,2,177,0,0,0,0,0,2,0
mauro arambarri,Getafe,La-Liga,2024-2025,1995.0,35,31,2661,10,0,10,0,17,75,55
jon aramburu,Real Sociedad,La-Liga,2024-2025,2002.0,35,28,2460,1,1,8,0,26,97,53
ronald araujo,Barcelona,La-Liga,2024-2025,1999.0,12,11,754,1,1,3,0,6,49,3
adu ares,Athletic Club,La-Liga,2024-2025,2001.0,1,0,19,0,0,0,0,1,3,2
jesus areso,Osasuna,La-Liga,2024-2025,1999.0,36,35,3079,0,3,9,0,101,106,203
david arguelles,Getafe,La-Liga,2024-2025,2002.0,1,0,7,0,0,0,0,1,0,0
jose arnaiz,Osasuna,La-Liga,2024-2025,1995.0,15,1,133,0,0,0,0,6,4,20
sergio arribas,Betis,La-Liga,2024-2025,2003.0,1,1,90,0,0,0,0,0,1,4
takuma asano,Mallorca,La-Liga,2024-2025,1994.0,21,13,1054,2,1,0,0,28,20,76
raul asencio,Real Madrid,La-Liga,2024-2025,2003.0,23,18,1670,0,1,3,0,5,27,4
iago aspas,Celta Vigo,La-Liga,2024-2025,1987.0,30,19,1745,10,5,6,1,50,132,143
yaser asprilla,Girona,La-Liga,2024-2025,2003.0,27,15,1405,3,1,2,0,72,77,140
ezequiel avila,Betis,La-Liga,2024-2025,1994.0,19,6,677,2,0,5,1,12,18,48
adam aznou,Valladolid,La-Liga,2024-2025,2006.0,13,10,876,0,0,1,0,16,25,26
cesar azpilicueta,Atlético Madrid,La-Liga,2024-2025,1989.0,14,10,875,1,0,1,0,13,66,20
papa ba,Girona,La-Liga,2024-2025,2004.0,1,0,48,0,0,0,0,1,0,2
loic bade,Sevilla,La-Liga,2024-2025,2000.0,32,31,2686,1,1,7,1,11,62,6
alex baena,Villarreal,La-Liga,2024-2025,2001.0,32,30,2595,7,9,9,0,91,189,154
juma bah,Valladolid,La-Liga,2024-2025,2006.0,12,10,864,0,0,1,0,0,13,1
eric bailly,Villarreal,La-Liga,2024-2025,1994.0,12,8,617,0,0,2,1,1,18,0
stefan bajcetic,Las Palmas,La-Liga,2024-2025,2004.0,14,12,969,1,0,4,0,8,39,9
cedric bakambu,Betis,La-Liga,2024-2025,1991.0,25,6,710,2,2,4,0,9,14,43
alejandro balde,Barcelona,La-Liga,2024-2025,2003.0,32,26,2284,0,4,2,0,107,93,246
ivan balliu,Rayo Vallecano,La-Liga,2024-2025,1992.0,25,12,1200,0,0,3,0,8,46,21
jonathan bamba,Celta Vigo,La-Liga,2024-2025,1996.0,12,10,811,0,1,1,0,31,30,71
adrian baquerin,Valladolid,La-Liga,2024-2025,2007.0,5,0,49,0,0,0,0,0,1,0
valentin barco,Sevilla,La-Liga,2024-2025,2004.0,7,3,288,0,0,0,0,4,13,13
borna barisic,Leganés,La-Liga,2024-2025,1992.0,1,1,9,0,0,0,0,0,0,0
kike barja,Osasuna,La-Liga,2024-2025,1997.0,15,3,315,0,1,3,0,22,4,39
enzo barrenechea,Valencia,La-Liga,2024-2025,2001.0,30,26,2191,1,2,6,0,21,126,16
ander barrenetxea,Real Sociedad,La-Liga,2024-2025,2001.0,30,14,1263,1,3,6,0,43,48,152
pablo barrios,Atlético Madrid,La-Liga,2024-2025,2003.0,31,28,2330,1,4,4,1,29,142,69
thierno barry,Villarreal,La-Liga,2024-2025,2002.0,35,25,2323,11,4,4,0,44,27,124
marc bartra,Betis,La-Liga,2024-2025,1991.0,25,23,2099,2,1,2,0,7,68,1
aboubacar bassinga,Las Palmas,La-Liga,2024-2025,2005.0,1,0,4,0,0,0,0,0,0,0
augusto batalla,Rayo Vallecano,La-Liga,2024-2025,1996.0,32,32,2880,0,0,6,0,0,2,0
rafael bauza,Espanyol,La-Liga,2024-2025,2005.0,5,2,183,0,0,1,0,1,7,3
sheraldo becker,Real Sociedad,La-Liga,2024-2025,1995.0,22,11,995,2,1,1,1,51,23,110
donny van de beek,Girona,La-Liga,2024-2025,1997.0,26,16,1421,2,2,5,0,17,45,85
luken beitia,Real Sociedad,La-Liga,2024-2025,2004.0,1,0,8,0,0,0,0,0,0,0
ismael bekhoucha,Getafe,La-Liga,2024-2025,2004.0,5,0,69,0,0,2,0,1,1,1
hector bellerin,Betis,La-Liga,2024-2025,1995.0,9,6,580,0,2,1,0,3,24,22
jude bellingham,Real Madrid,La-Liga,2024-2025,2003.0,31,29,2488,9,8,5,1,74,199,143
fran beltran,Celta Vigo,La-Liga,2024-2025,1999.0,34,29,2421,2,1,3,0,28,152,29
carlos benavidez,Alavés,La-Liga,2024-2025,1998.0,18,6,487,1,1,3,0,4,26,5
iker benito,Osasuna,La-Liga,2024-2025,2002.0,2,0,37,0,0,0,0,2,0,4
yuri berchiche,Athletic Club,La-Liga,2024-2025,1990.0,30,22,2044,0,2,5,0,43,161,66
alex berenguer,Athletic Club,La-Liga,2024-2025,1995.0,36,28,2339,6,7,5,0,65,78,216
marc bernal,Barcelona,La-Liga,2024-2025,2007.0,3,3,242,0,0,2,0,0,8,2
juan bernat,Villarreal,La-Liga,2024-2025,1993.0,10,1,212,0,1,0,0,4,8,23
juan bernat,Getafe,La-Liga,2024-2025,1993.0,14,9,699,0,1,0,0,2,14,36
juan berrocal,Getafe,La-Liga,2024-2025,1999.0,19,11,1063,0,0,8,1,1,25,1
antonio blanco,Alavés,La-Liga,2024-2025,2000.0,35,32,2727,0,1,11,1,13,146,19
daley blind,Girona,La-Liga,2024-2025,1990.0,34,31,2780,0,2,2,0,71,272,61
adama boiro,Athletic Club,La-Liga,2024-2025,2002.0,18,13,1101,0,0,3,0,25,46,36
enzo boyomo,Osasuna,La-Liga,2024-2025,2001.0,34,33,2987,2,0,5,0,16,111,7
enzo boyomo,Valladolid,La-Liga,2024-2025,2001.0,3,3,270,0,0,0,0,1,7,0
darko brasanac,Leganés,La-Liga,2024-2025,1992.0,30,15,1617,1,2,4,0,6,43,53
tajon buchanan,Villarreal,La-Liga,2024-2025,1999.0,13,4,416,1,2,2,0,19,5,45
ante budimir,Osasuna,La-Liga,2024-2025,1991.0,38,34,2952,21,4,4,0,23,24,134
manu bueno,Sevilla,La-Liga,2024-2025,2004.0,9,1,140,1,0,0,0,2,5,5
endika bujan,Athletic Club,La-Liga,2024-2025,2003.0,1,0,7,0,0,0,0,1,0,0
pau cabanes,Villarreal,La-Liga,2024-2025,2005.0,10,0,163,1,0,0,0,10,11,33
pau cabanes,Alavés,La-Liga,2024-2025,2005.0,6,2,188,0,0,1,0,15,5,15
leandro cabrera,Espanyol,La-Liga,2024-2025,1991.0,33,32,2869,4,2,4,1,9,69,6
fernando calero,Espanyol,La-Liga,2024-2025,1995.0,21,6,715,1,0,1,0,0,17,2
eduardo camavinga,Real Madrid,La-Liga,2024-2025,2002.0,19,11,1102,1,2,2,0,26,61,31
sergio camello,Rayo Vallecano,La-Liga,2024-2025,2001.0,23,14,1134,3,2,2,0,20,27,68
jose campana,Las Palmas,La-Liga,2024-2025,1993.0,25,15,1189,0,3,5,0,11,87,15
peio canales,Athletic Club,La-Liga,2024-2025,2005.0,8,2,259,0,0,0,0,6,6,11
antonio candela,Valladolid,La-Liga,2024-2025,2000.0,12,12,906,0,0,1,0,16,22,29
sergi canos,Valencia,La-Liga,2024-2025,1997.0,17,2,370,0,1,3,0,7,9,47
dani cardenas,Rayo Vallecano,La-Liga,2024-2025,1997.0,6,6,540,0,0,0,0,0,0,0
irvin cardona,Espanyol,La-Liga,2024-2025,1997.0,16,5,606,1,1,1,0,14,15,43
marc cardona,Las Palmas,La-Liga,2024-2025,1995.0,11,0,132,0,0,2,0,2,3,12
sergi cardona,Villarreal,La-Liga,2024-2025,1999.0,35,34,2945,1,7,11,0,52,77,198
johnny cardoso,Betis,La-Liga,2024-2025,2001.0,28,24,2144,3,1,4,0,19,71,28
jose carlos gonzalez,Las Palmas,La-Liga,2024-2025,2006.0,1,0,11,0,0,0,0,0,0,1
carmona,Sevilla,La-Liga,2024-2025,2002.0,35,35,2942,0,0,11,0,45,109,57
sergio carreira,Celta Vigo,La-Liga,2024-2025,2000.0,23,19,1656,0,4,1,0,39,53,140
dani carvajal,Real Madrid,La-Liga,2024-2025,1992.0,8,7,609,1,0,1,0,13,27,48
william carvalho,Betis,La-Liga,2024-2025,1992.0,14,6,484,0,0,1,0,5,45,10
marc casado,Barcelona,La-Liga,2024-2025,2003.0,23,20,1611,1,3,4,1,12,107,24
catena,Osasuna,La-Liga,2024-2025,1994.0,35,35,3074,1,3,11,0,9,89,4
maximiliano caufriez,Valencia,La-Liga,2024-2025,1997.0,1,1,90,0,0,0,0,0,1,0
dani ceballos,Real Madrid,La-Liga,2024-2025,1996.0,23,15,1215,0,0,4,0,42,150,17
franco cervi,Celta Vigo,La-Liga,2024-2025,1994.0,7,4,273,0,0,1,0,3,14,21
raul chasco,Valladolid,La-Liga,2024-2025,2003.0,2,1,130,0,0,0,0,1,3,2
pep chavarria,Rayo Vallecano,La-Liga,2024-2025,1998.0,34,28,2585,0,1,3,0,59,114,133
walid cheddira,Espanyol,La-Liga,2024-2025,1998.0,22,5,640,1,1,3,0,8,12,34
chema,Real Madrid,La-Liga,2024-2025,2005.0,2,0,12,0,0,0,0,0,0,0
julian chicco,Leganés,La-Liga,2024-2025,1998.0,14,2,302,0,1,0,0,8,16,7
chiquinho,Mallorca,La-Liga,2024-2025,2000.0,8,1,146,0,0,2,0,4,1,12
andreas christensen,Barcelona,La-Liga,2024-2025,1996.0,5,2,254,0,0,3,0,1,15,1
jasper cillessen,Las Palmas,La-Liga,2024-2025,1989.0,27,27,2335,0,0,1,0,0,0,0
pathe ciss,Rayo Vallecano,La-Liga,2024-2025,1994.0,33,25,2140,4,1,12,0,19,128,12
seydouba cisse,Leganés,La-Liga,2024-2025,2001.0,34,31,2435,3,1,3,1,26,110,42
silvi clua,Girona,La-Liga,2024-2025,2005.0,4,2,163,0,0,0,0,4,3,3
eray comert,Valladolid,La-Liga,2024-2025,1998.0,25,21,1779,0,0,6,0,9,48,5
santi comesana,Villarreal,La-Liga,2024-2025,1996.0,35,30,2560,4,2,7,0,39,154,58
diego conde,Villarreal,La-Liga,2024-2025,1998.0,22,22,1962,0,1,2,0,0,0,0
tomas conechny,Alavés,La-Liga,2024-2025,1998.0,22,9,847,1,0,8,0,14,23,61
copete,Mallorca,La-Liga,2024-2025,1999.0,25,16,1528,0,0,6,0,10,47,2
iker cordoba,Valencia,La-Liga,2024-2025,2005.0,2,0,15,0,0,0,0,0,1,1
angel correa,Atlético Madrid,La-Liga,2024-2025,1995.0,31,3,805,4,1,3,1,30,25,85
thierry correia,Valencia,La-Liga,2024-2025,1999.0,11,9,768,0,0,1,0,16,44,48
coba da costa,Getafe,La-Liga,2024-2025,2002.0,19,12,1006,1,1,4,0,46,16,83
logan costa,Villarreal,La-Liga,2024-2025,2001.0,32,28,2587,2,1,3,0,25,116,10
samu costa,Mallorca,La-Liga,2024-2025,2000.0,32,31,2649,0,2,10,1,24,116,69
thibaut courtois,Real Madrid,La-Liga,2024-2025,1992.0,30,30,2700,0,0,1,0,0,0,0
juan cruz armada,Osasuna,La-Liga,2024-2025,1992.0,25,19,1492,0,0,4,0,9,53,12
juan cruz,Leganés,La-Liga,2024-2025,2000.0,34,26,2257,5,4,2,0,59,66,131
pau cubarsi,Barcelona,La-Liga,2024-2025,2007.0,35,29,2618,0,3,3,0,26,191,6
cucho,Betis,La-Liga,2024-2025,1999.0,15,14,1139,5,1,0,0,27,34,82
arnaut danjuma,Villarreal,La-Liga,2024-2025,1997.0,3,3,200,2,0,1,0,4,1,17
arnaut danjuma,Girona,La-Liga,2024-2025,1997.0,25,15,1335,2,0,2,0,91,41,185
sergi darder,Mallorca,La-Liga,2024-2025,1993.0,38,34,2744,2,6,4,0,37,142,83
rodrigo de paul,Atlético Madrid,La-Liga,2024-2025,1994.0,34,23,2106,3,5,7,0,85,231,64
mouctar diakhaby,Valencia,La-Liga,2024-2025,1996.0,13,7,653,2,0,0,0,5,14,2
assane diao,Betis,La-Liga,2024-2025,2005.0,10,2,277,1,2,0,0,9,1,27
moussa diarra,Alavés,La-Liga,2024-2025,2000.0,26,20,1866,0,0,6,0,12,70,31
brahim diaz,Real Madrid,La-Liga,2024-2025,1999.0,31,16,1385,4,2,0,0,39,74,110
daniel diaz,Real Sociedad,La-Liga,2024-2025,2006.0,1,0,10,0,0,0,0,0,0,0
pedro diaz,Rayo Vallecano,La-Liga,2024-2025,1998.0,26,12,1211,3,0,2,0,27,62,49
diego,Leganés,La-Liga,2024-2025,2000.0,28,13,1195,3,0,2,0,9,16,49
stole dimitrievski,Valencia,La-Liga,2024-2025,1993.0,4,4,360,0,0,1,0,0,0,0
yan diomande,Leganés,La-Liga,2024-2025,2006.0,10,6,545,2,1,1,0,37,16,64
alvaro djalo,Athletic Club,La-Liga,2024-2025,1999.0,17,7,659,1,0,2,0,22,13,60
djene,Getafe,La-Liga,2024-2025,1991.0,31,31,2548,0,0,10,1,18,74,21
marko dmitrovic,Leganés,La-Liga,2024-2025,1992.0,32,32,2880,0,0,0,0,0,1,0
marc domenech,Mallorca,La-Liga,2024-2025,2006.0,10,3,303,0,0,0,0,1,4,21
carlos dominguez,Celta Vigo,La-Liga,2024-2025,2001.0,19,13,1181,0,0,1,0,15,66,4
israel dominguez,Sevilla,La-Liga,2024-2025,2003.0,1,0,18,0,0,0,0,0,0,0
sergi dominguez,Barcelona,La-Liga,2024-2025,2005.0,3,2,172,0,0,1,0,0,13,1
anastasios douvikas,Celta Vigo,La-Liga,2024-2025,1999.0,20,6,700,3,1,2,0,6,6,43
domingos duarte,Getafe,La-Liga,2024-2025,1995.0,22,21,1859,1,0,4,2,3,47,3
duk,Leganés,La-Liga,2024-2025,2000.0,10,1,179,0,0,1,0,10,3,21
pablo duran,Celta Vigo,La-Liga,2024-2025,2001.0,27,15,1394,4,4,3,0,24,30,124
hugo duro,Valencia,La-Liga,2024-2025,1999.0,31,25,2166,11,2,5,0,13,28,88
chidera ejuke,Sevilla,La-Liga,2024-2025,1998.0,25,9,966,2,1,0,0,75,38,101
aritz elustondo,Real Sociedad,La-Liga,2024-2025,1994.0,22,16,1457,0,0,2,1,17,51,4
adri embarba,Rayo Vallecano,La-Liga,2024-2025,1992.0,35,18,1607,1,1,4,0,47,45,114
endrick,Real Madrid,La-Liga,2024-2025,2006.0,22,3,363,1,0,1,0,12,8,32
alfonso espino,Rayo Vallecano,La-Liga,2024-2025,1992.0,16,9,833,0,1,4,0,10,39,29
dario essugo,Las Palmas,La-Liga,2024-2025,2005.0,27,25,1938,1,0,11,2,18,76,8
etienne etoo,Rayo Vallecano,La-Liga,2024-2025,2002.0,2,0,40,0,0,0,0,0,0,1
karl etta,Villarreal,La-Liga,2024-2025,2003.0,4,0,37,1,0,0,0,0,0,0
edu exposito,Espanyol,La-Liga,2024-2025,1996.0,19,12,1045,0,2,3,0,23,64,41
abde ezzalzouli,Betis,La-Liga,2024-2025,2001.0,32,23,1984,2,2,2,0,117,68,215
ansu fati,Barcelona,La-Liga,2024-2025,2002.0,6,3,233,0,0,1,0,7,6,32
nabil fekir,Betis,La-Liga,2024-2025,1993.0,2,2,180,0,1,0,0,9,10,18
kiko femenia,Villarreal,La-Liga,2024-2025,1991.0,28,27,2227,0,1,7,0,52,112,44
aitor fernandez,Osasuna,La-Liga,2024-2025,1991.0,1,1,90,0,0,0,0,0,0,0
alvaro fernandez,Sevilla,La-Liga,2024-2025,1998.0,9,8,747,0,0,2,0,0,0,0
pelayo fernandez,Rayo Vallecano,La-Liga,2024-2025,2003.0,2,1,98,0,0,1,0,0,1,0
roberto fernandez,Espanyol,La-Liga,2024-2025,2002.0,19,18,1497,6,0,1,0,7,17,50
valery fernandez,Mallorca,La-Liga,2024-2025,1999.0,18,1,309,2,0,1,0,2,5,14
andre ferreira,Valladolid,La-Liga,2024-2025,1996.0,6,6,540,0,0,0,0,0,0,0
mateo flores,Betis,La-Liga,2024-2025,2004.0,6,1,153,0,0,1,0,0,9,2
pablo fornals,Betis,La-Liga,2024-2025,1996.0,26,22,1827,2,0,2,0,32,146,85
hector fort,Barcelona,La-Liga,2024-2025,2006.0,17,5,585,0,0,2,0,14,26,33
dimitri foulquier,Valencia,La-Liga,2024-2025,1993.0,32,25,2299,0,1,6,0,48,97,66
juan foyth,Villarreal,La-Liga,2024-2025,1998.0,19,17,1517,1,0,4,0,13,65,11
fran,Real Madrid,La-Liga,2024-2025,2005.0,1,1,90,0,0,0,0,0,0,0
alejandro frances,Girona,La-Liga,2024-2025,2002.0,18,13,1173,0,0,2,0,18,63,21
enric franquesa,Leganés,La-Liga,2024-2025,1997.0,12,7,616,1,0,1,0,11,12,30
jorge de frutos,Rayo Vallecano,La-Liga,2024-2025,1997.0,36,30,2495,6,3,3,1,77,44,201
dario fuentes,Sevilla,La-Liga,2024-2025,2003.0,1,0,5,0,0,1,0,0,0,0
manuel fuster,Las Palmas,La-Liga,2024-2025,1997.0,28,8,1003,2,1,2,0,23,71,75
javi galan,Atlético Madrid,La-Liga,2024-2025,1994.0,25,21,1784,0,3,8,0,52,54,107
inigo ruiz de galarreta,Athletic Club,La-Liga,2024-2025,1993.0,26,18,1477,0,4,5,0,27,137,39
conor gallagher,Atlético Madrid,La-Liga,2024-2025,2000.0,32,19,1633,3,3,2,0,24,64,64
facundo garces,Alavés,La-Liga,2024-2025,1999.0,10,7,678,0,0,2,0,3,12,3
alvaro garcia,Rayo Vallecano,La-Liga,2024-2025,1992.0,36,28,2559,4,5,4,0,68,71,245
eric garcia,Barcelona,La-Liga,2024-2025,2001.0,29,14,1566,2,3,4,0,18,109,22
fran garcia,Real Madrid,La-Liga,2024-2025,1999.0,31,24,2171,0,2,0,0,78,119,177
gonzalo garcia,Real Madrid,La-Liga,2024-2025,2004.0,3,0,56,0,1,0,0,0,0,3
joan garcia,Espanyol,La-Liga,2024-2025,2001.0,38,38,3420,0,0,2,0,0,1,0
pablo garcia,Betis,La-Liga,2024-2025,2006.0,3,0,38,0,0,0,0,2,0,8
ruben garcia,Osasuna,La-Liga,2024-2025,1993.0,36,30,2413,5,5,2,0,37,112,157
unai garcia,Osasuna,La-Liga,2024-2025,1992.0,3,1,65,0,0,0,0,0,3,0
yarek gasiorowski,Valencia,La-Liga,2024-2025,2005.0,15,9,947,0,0,1,0,9,38,0
gavi,Barcelona,La-Liga,2024-2025,2004.0,26,14,1085,1,1,4,0,13,77,42
paulo gazzaniga,Girona,La-Liga,2024-2025,1992.0,36,36,3195,0,0,4,0,0,0,0
bryan gil,Girona,La-Liga,2024-2025,2001.0,25,21,1721,3,3,4,0,76,74,210
dani gomez,Valencia,La-Liga,2024-2025,1998.0,14,5,532,2,0,0,0,3,6,24
moi gomez,Osasuna,La-Liga,2024-2025,1994.0,26,6,796,0,0,1,0,13,49,16
sergi gomez,Espanyol,La-Liga,2024-2025,1992.0,12,6,664,0,0,1,0,0,8,1
sergio gomez,Real Sociedad,La-Liga,2024-2025,2000.0,37,31,2738,2,5,4,0,43,93,154
unai gomez,Athletic Club,La-Liga,2024-2025,2003.0,32,14,1284,1,3,1,0,19,23,49
fabio gonzalez,Las Palmas,La-Liga,2024-2025,1997.0,2,0,53,0,0,0,0,0,6,0
peter gonzalez,Getafe,La-Liga,2024-2025,2002.0,17,2,477,0,0,1,0,8,6,33
urko gonzalez,Espanyol,La-Liga,2024-2025,2001.0,17,16,1374,0,2,2,0,18,62,8
urko gonzalez,Real Sociedad,La-Liga,2024-2025,2001.0,1,1,45,0,0,1,0,0,1,0
andoni gorosabel,Athletic Club,La-Liga,2024-2025,1996.0,20,17,1485,0,2,5,0,17,51,59
jose gragera,Espanyol,La-Liga,2024-2025,2000.0,10,7,569,0,0,0,0,1,14,3
dominik greif,Mallorca,La-Liga,2024-2025,1997.0,31,31,2790,0,0,1,0,0,0,0
antoine griezmann,Atlético Madrid,La-Liga,2024-2025,1991.0,38,29,2469,8,7,2,0,46,143,177
florian grillitsch,Valladolid,La-Liga,2024-2025,1995.0,13,7,623,0,0,1,0,9,38,7
vicente guaita,Celta Vigo,La-Liga,2024-2025,1987.0,34,34,3060,0,0,0,0,0,1,0
sergi guardiola,Rayo Vallecano,La-Liga,2024-2025,1991.0,16,1,362,0,0,1,0,2,3,22
nemanja gudelj,Sevilla,La-Liga,2024-2025,1991.0,31,27,2493,1,1,6,0,14,64,5
javier guerra,Valencia,La-Liga,2024-2025,2003.0,36,31,2581,3,3,5,0,50,137,84
ander guevara,Alavés,La-Liga,2024-2025,1997.0,33,20,1947,0,1,3,0,14,112,19
pape gueye,Villarreal,La-Liga,2024-2025,1999.0,34,26,2224,4,0,6,2,36,156,69
hugo guillamon,Valencia,La-Liga,2024-2025,2000.0,12,4,364,0,0,2,0,0,15,5
carlos guirao,Betis,La-Liga,2024-2025,2003.0,2,2,110,0,0,0,0,1,2,2
arda guler,Real Madrid,La-Liga,2024-2025,2005.0,28,14,1250,3,4,1,0,34,93,86
gerard gumbau,Rayo Vallecano,La-Liga,2024-2025,1994.0,22,7,849,0,1,4,0,2,41,21
jon guridi,Alavés,La-Liga,2024-2025,1995.0,33,27,2080,3,1,6,0,27,79,90
gorka guruzeta,Athletic Club,La-Liga,2024-2025,1996.0,36,21,1840,7,2,2,0,8,31,64
miguel gutierrez,Girona,La-Liga,2024-2025,2001.0,29,29,2458,1,5,4,0,63,103,199
munir el haddadi,Leganés,La-Liga,2024-2025,1995.0,25,10,862,4,0,1,1,11,29,42
sebastien haller,Leganés,La-Liga,2024-2025,1994.0,8,5,404,0,0,0,0,3,4,14
henrique,Valladolid,La-Liga,2024-2025,1994.0,5,4,352,0,0,0,0,2,12,4
javi hernandez,Leganés,La-Liga,2024-2025,1998.0,31,27,2389,2,1,6,0,40,80,90
aridane hernandez,Rayo Vallecano,La-Liga,2024-2025,1989.0,14,11,1025,0,0,1,0,2,38,0
jorge herrando,Osasuna,La-Liga,2024-2025,2001.0,18,15,1366,1,0,3,0,7,38,1
ander herrera,Athletic Club,La-Liga,2024-2025,1989.0,8,2,273,0,0,2,0,2,16,5
sergio herrera,Osasuna,La-Liga,2024-2025,1993.0,37,37,3330,0,0,5,0,0,2,0
yangel herrera,Girona,La-Liga,2024-2025,1998.0,29,27,2257,4,3,10,1,31,110,99
juan herzog,Las Palmas,La-Liga,2024-2025,2003.0,19,15,1315,0,0,1,0,0,27,1
omar el hilali,Espanyol,La-Liga,2024-2025,2003.0,36,36,3153,0,2,11,0,35,84,61
roger hinojo,Espanyol,La-Liga,2024-2025,2005.0,1,0,9,0,0,0,0,1,0,2
dinko horkas,Las Palmas,La-Liga,2024-2025,1999.0,13,11,1085,0,0,1,0,0,2,0
pablo ibanez,Osasuna,La-Liga,2024-2025,1998.0,28,13,1294,1,1,4,0,21,51,31
stanis idumbo,Sevilla,La-Liga,2024-2025,2005.0,14,3,284,1,1,0,0,10,8,20
iglesias,Getafe,La-Liga,2024-2025,1998.0,37,32,2888,0,1,4,0,32,84,67
borja iglesias,Celta Vigo,La-Liga,2024-2025,1993.0,37,24,1952,11,3,2,0,22,28,108
kelechi iheanacho,Sevilla,La-Liga,2024-2025,1996.0,9,5,400,0,0,0,0,6,5,17
isco,Betis,La-Liga,2024-2025,1992.0,22,17,1547,9,8,5,0,38,152,112
diego iturralde,Sevilla,La-Liga,2024-2025,2003.0,1,1,37,0,0,0,0,0,0,1
ivan jaime pajuelo,Valencia,La-Liga,2024-2025,2000.0,9,2,297,0,0,0,0,8,15,14
karl jakob hein,Valladolid,La-Liga,2024-2025,2002.0,31,31,2790,0,0,0,0,0,0,0
adnan januzaj,Las Palmas,La-Liga,2024-2025,1995.0,18,5,598,2,1,5,0,24,41,58
