Player,Squad,Liga,Season,Sh,SoT,G/Sh,xG,npxG,npxG/Sh,G-xG
domingos andre ribeiro almeida,Valencia,La-Liga,2024-2025,18,5,0.0,1.2,1.2,0.07,-1.2
iker almena,Girona,La-Liga,2024-2025,1,0,0.0,0.0,0.0,0.03,0.0
marcos alonso,Celta Vigo,La-Liga,2024-2025,31,10,0.0,4.0,1.6,0.05,-1.0
adria altimira,Leganés,La-Liga,2024-2025,7,2,0.0,0.3,0.3,0.04,-0.3
sergi altimira,Betis,La-Liga,2024-2025,21,4,0.0,1.7,1.6,0.08,-1.7
hugo alvarez,Celta Vigo,La-Liga,2024-2025,25,9,0.16,2.5,2.5,0.1,1.5
julian alvarez,Atlético Madrid,La-Liga,2024-2025,70,36,0.19,14.1,11.0,0.16,2.9
yeray alvarez,Athletic Club,La-Liga,2024-2025,9,2,0.11,0.5,0.5,0.05,0.5
selim amallah,Valladolid,La-Liga,2024-2025,21,7,0.1,3.5,2.7,0.13,-0.5
amath,Valladolid,La-Liga,2024-2025,5,1,0.0,0.4,0.4,0.07,-0.4
marcos andre,Valladolid,La-Liga,2024-2025,22,2,0.05,2.7,2.7,0.12,-1.7
leandro antonetti,Sevilla,La-Liga,2024-2025,1,1,0.0,0.1,0.1,0.14,-0.1
antoniu,Espanyol,La-Liga,2024-2025,10,4,0.0,0.9,0.9,0.09,-0.9
antony,Betis,La-Liga,2024-2025,43,17,0.12,2.9,2.9,0.07,2.1
anuar,Valladolid,La-Liga,2024-2025,11,5,0.18,1.7,1.7,0.15,0.3
aritz arambarri,Leganés,La-Liga,2024-2025,1,0,0.0,0.0,0.0,0.02,0.0
mauro arambarri,Getafe,La-Liga,2024-2025,53,16,0.13,8.2,5.8,0.11,1.8
jon aramburu,Real Sociedad,La-Liga,2024-2025,11,3,0.09,0.4,0.4,0.04,0.6
ronald araujo,Barcelona,La-Liga,2024-2025,4,2,0.25,1.0,1.0,0.24,0.0
adu ares,Athletic Club,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
jesus areso,Osasuna,La-Liga,2024-2025,8,0,0.0,0.2,0.2,0.03,-0.2
david arguelles,Getafe,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
jose arnaiz,Osasuna,La-Liga,2024-2025,6,3,0.0,0.3,0.3,0.05,-0.3
sergio arribas,Betis,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
takuma asano,Mallorca,La-Liga,2024-2025,28,8,0.07,2.7,2.7,0.1,-0.7
raul asencio,Real Madrid,La-Liga,2024-2025,3,1,0.0,0.1,0.1,0.04,-0.1
iago aspas,Celta Vigo,La-Liga,2024-2025,46,18,0.11,8.7,4.0,0.09,1.3
yaser asprilla,Girona,La-Liga,2024-2025,38,11,0.08,2.1,2.1,0.05,0.9
ezequiel avila,Betis,La-Liga,2024-2025,20,10,0.1,1.5,1.5,0.08,0.5
adam aznou,Valladolid,La-Liga,2024-2025,4,1,0.0,0.3,0.3,0.07,-0.3
cesar azpilicueta,Atlético Madrid,La-Liga,2024-2025,5,2,0.2,0.2,0.2,0.05,0.8
papa ba,Girona,La-Liga,2024-2025,1,0,0.0,0.0,0.0,0.03,0.0
loic bade,Sevilla,La-Liga,2024-2025,13,4,0.08,0.6,0.6,0.05,0.4
alex baena,Villarreal,La-Liga,2024-2025,69,17,0.1,7.1,6.3,0.09,-0.1
juma bah,Valladolid,La-Liga,2024-2025,3,1,0.0,0.3,0.3,0.09,-0.3
eric bailly,Villarreal,La-Liga,2024-2025,4,0,0.0,0.3,0.3,0.08,-0.3
stefan bajcetic,Las Palmas,La-Liga,2024-2025,5,2,0.2,0.3,0.3,0.05,0.7
cedric bakambu,Betis,La-Liga,2024-2025,24,11,0.08,3.2,3.2,0.13,-1.2
alejandro balde,Barcelona,La-Liga,2024-2025,12,3,0.0,0.5,0.5,0.04,-0.5
ivan balliu,Rayo Vallecano,La-Liga,2024-2025,1,0,0.0,0.0,0.0,0.01,0.0
jonathan bamba,Celta Vigo,La-Liga,2024-2025,13,6,0.0,0.8,0.8,0.06,-0.8
adrian baquerin,Valladolid,La-Liga,2024-2025,3,0,0.0,0.4,0.4,0.13,-0.4
valentin barco,Sevilla,La-Liga,2024-2025,7,0,0.0,0.3,0.3,0.04,-0.3
borna barisic,Leganés,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
kike barja,Osasuna,La-Liga,2024-2025,4,1,0.0,0.2,0.2,0.05,-0.2
enzo barrenechea,Valencia,La-Liga,2024-2025,16,3,0.06,1.3,1.3,0.08,-0.3
ander barrenetxea,Real Sociedad,La-Liga,2024-2025,25,8,0.04,1.6,1.6,0.07,-0.6
pablo barrios,Atlético Madrid,La-Liga,2024-2025,29,8,0.03,1.3,1.3,0.05,-0.3
thierno barry,Villarreal,La-Liga,2024-2025,71,24,0.14,12.5,11.7,0.17,-1.5
marc bartra,Betis,La-Liga,2024-2025,18,5,0.11,1.2,1.2,0.07,0.8
aboubacar bassinga,Las Palmas,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
augusto batalla,Rayo Vallecano,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
rafael bauza,Espanyol,La-Liga,2024-2025,3,0,0.0,0.1,0.1,0.03,-0.1
sheraldo becker,Real Sociedad,La-Liga,2024-2025,22,13,0.09,2.0,2.0,0.09,0.0
donny van de beek,Girona,La-Liga,2024-2025,18,5,0.11,1.5,1.5,0.08,0.5
luken beitia,Real Sociedad,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
ismael bekhoucha,Getafe,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
hector bellerin,Betis,La-Liga,2024-2025,1,1,0.0,0.2,0.2,0.2,-0.2
jude bellingham,Real Madrid,La-Liga,2024-2025,60,22,0.13,11.4,9.9,0.17,-2.4
fran beltran,Celta Vigo,La-Liga,2024-2025,23,4,0.09,1.0,1.0,0.04,1.0
carlos benavidez,Alavés,La-Liga,2024-2025,5,2,0.2,0.3,0.3,0.05,0.7
iker benito,Osasuna,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
yuri berchiche,Athletic Club,La-Liga,2024-2025,16,4,0.0,0.6,0.6,0.04,-0.6
alex berenguer,Athletic Club,La-Liga,2024-2025,51,18,0.12,6.8,6.0,0.12,-0.8
marc bernal,Barcelona,La-Liga,2024-2025,2,1,0.0,0.1,0.1,0.03,-0.1
juan bernat,Villarreal,La-Liga,2024-2025,2,1,0.0,0.3,0.3,0.14,-0.3
juan bernat,Getafe,La-Liga,2024-2025,4,0,0.0,0.1,0.1,0.03,-0.1
juan berrocal,Getafe,La-Liga,2024-2025,4,0,0.0,0.4,0.4,0.09,-0.4
antonio blanco,Alavés,La-Liga,2024-2025,25,3,0.0,0.8,0.8,0.03,-0.8
daley blind,Girona,La-Liga,2024-2025,10,4,0.0,0.5,0.5,0.05,-0.5
adama boiro,Athletic Club,La-Liga,2024-2025,5,0,0.0,0.3,0.3,0.05,-0.3
enzo boyomo,Osasuna,La-Liga,2024-2025,12,3,0.17,1.5,1.5,0.12,0.5
enzo boyomo,Valladolid,La-Liga,2024-2025,2,0,0.0,0.1,0.1,0.03,-0.1
darko brasanac,Leganés,La-Liga,2024-2025,12,3,0.08,1.8,1.8,0.15,-0.8
tajon buchanan,Villarreal,La-Liga,2024-2025,7,2,0.14,0.9,0.9,0.13,0.1
ante budimir,Osasuna,La-Liga,2024-2025,91,29,0.14,18.3,12.3,0.14,2.7
manu bueno,Sevilla,La-Liga,2024-2025,4,1,0.25,0.1,0.1,0.03,0.9
endika bujan,Athletic Club,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
pau cabanes,Villarreal,La-Liga,2024-2025,4,2,0.25,0.5,0.5,0.12,0.5
pau cabanes,Alavés,La-Liga,2024-2025,2,1,0.0,0.0,0.0,0.02,0.0
leandro cabrera,Espanyol,La-Liga,2024-2025,19,6,0.21,1.1,1.1,0.06,2.9
fernando calero,Espanyol,La-Liga,2024-2025,2,1,0.5,0.3,0.3,0.14,0.7
eduardo camavinga,Real Madrid,La-Liga,2024-2025,8,2,0.13,0.4,0.4,0.05,0.6
sergio camello,Rayo Vallecano,La-Liga,2024-2025,32,9,0.09,4.1,4.1,0.13,-1.1
jose campana,Las Palmas,La-Liga,2024-2025,5,3,0.0,0.1,0.1,0.02,-0.1
peio canales,Athletic Club,La-Liga,2024-2025,3,0,0.0,0.2,0.2,0.06,-0.2
antonio candela,Valladolid,La-Liga,2024-2025,1,0,0.0,0.0,0.0,0.04,0.0
sergi canos,Valencia,La-Liga,2024-2025,11,3,0.0,0.5,0.5,0.05,-0.5
dani cardenas,Rayo Vallecano,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
irvin cardona,Espanyol,La-Liga,2024-2025,10,3,0.1,1.1,1.1,0.11,-0.1
marc cardona,Las Palmas,La-Liga,2024-2025,4,0,0.0,0.4,0.4,0.09,-0.4
sergi cardona,Villarreal,La-Liga,2024-2025,20,6,0.05,2.4,2.4,0.12,-1.4
johnny cardoso,Betis,La-Liga,2024-2025,19,7,0.16,2.0,2.0,0.11,1.0
jose carlos gonzalez,Las Palmas,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
carmona,Sevilla,La-Liga,2024-2025,19,4,0.0,0.5,0.5,0.03,-0.5
sergio carreira,Celta Vigo,La-Liga,2024-2025,13,3,0.0,0.6,0.6,0.05,-0.6
dani carvajal,Real Madrid,La-Liga,2024-2025,3,1,0.33,1.3,1.3,0.44,-0.3
william carvalho,Betis,La-Liga,2024-2025,4,1,0.0,0.2,0.2,0.06,-0.2
marc casado,Barcelona,La-Liga,2024-2025,14,1,0.07,1.1,1.1,0.08,-0.1
catena,Osasuna,La-Liga,2024-2025,20,5,0.05,2.2,2.2,0.11,-1.2
maximiliano caufriez,Valencia,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
dani ceballos,Real Madrid,La-Liga,2024-2025,7,2,0.0,0.4,0.4,0.05,-0.4
franco cervi,Celta Vigo,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
raul chasco,Valladolid,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
pep chavarria,Rayo Vallecano,La-Liga,2024-2025,11,3,0.0,1.2,1.2,0.11,-1.2
walid cheddira,Espanyol,La-Liga,2024-2025,13,4,0.08,1.0,1.0,0.08,0.0
chema,Real Madrid,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
julian chicco,Leganés,La-Liga,2024-2025,3,1,0.0,0.5,0.5,0.16,-0.5
chiquinho,Mallorca,La-Liga,2024-2025,4,2,0.0,0.3,0.3,0.08,-0.3
andreas christensen,Barcelona,La-Liga,2024-2025,1,0,0.0,0.0,0.0,0.02,0.0
jasper cillessen,Las Palmas,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
pathe ciss,Rayo Vallecano,La-Liga,2024-2025,21,6,0.19,1.8,1.7,0.09,2.2
seydouba cisse,Leganés,La-Liga,2024-2025,24,5,0.13,3.0,3.0,0.13,0.0
silvi clua,Girona,La-Liga,2024-2025,2,1,0.0,0.0,0.0,0.02,0.0
eray comert,Valladolid,La-Liga,2024-2025,9,1,0.0,0.9,0.9,0.1,-0.9
santi comesana,Villarreal,La-Liga,2024-2025,39,8,0.1,4.6,4.6,0.12,-0.6
diego conde,Villarreal,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
tomas conechny,Alavés,La-Liga,2024-2025,22,10,0.05,2.4,2.4,0.11,-1.4
copete,Mallorca,La-Liga,2024-2025,6,2,0.0,0.5,0.5,0.08,-0.5
iker cordoba,Valencia,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
angel correa,Atlético Madrid,La-Liga,2024-2025,34,14,0.12,4.5,4.5,0.13,-0.5
thierry correia,Valencia,La-Liga,2024-2025,7,3,0.0,0.3,0.3,0.05,-0.3
coba da costa,Getafe,La-Liga,2024-2025,23,8,0.04,1.1,1.1,0.05,-0.1
logan costa,Villarreal,La-Liga,2024-2025,12,5,0.17,0.7,0.7,0.05,1.3
samu costa,Mallorca,La-Liga,2024-2025,30,8,0.0,1.8,1.8,0.06,-1.8
thibaut courtois,Real Madrid,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
juan cruz armada,Osasuna,La-Liga,2024-2025,4,0,0.0,0.1,0.1,0.03,-0.1
juan cruz,Leganés,La-Liga,2024-2025,33,14,0.15,2.7,2.7,0.08,2.3
pau cubarsi,Barcelona,La-Liga,2024-2025,8,0,0.0,0.8,0.8,0.1,-0.8
cucho,Betis,La-Liga,2024-2025,43,11,0.12,3.8,3.8,0.09,1.2
arnaut danjuma,Villarreal,La-Liga,2024-2025,6,3,0.33,0.8,0.8,0.14,1.2
arnaut danjuma,Girona,La-Liga,2024-2025,30,14,0.07,3.6,3.6,0.12,-1.6
sergi darder,Mallorca,La-Liga,2024-2025,36,9,0.06,2.1,2.1,0.06,-0.1
rodrigo de paul,Atlético Madrid,La-Liga,2024-2025,19,4,0.16,1.3,1.3,0.07,1.7
mouctar diakhaby,Valencia,La-Liga,2024-2025,11,4,0.18,1.5,1.5,0.13,0.5
assane diao,Betis,La-Liga,2024-2025,7,1,0.14,0.8,0.8,0.11,0.2
moussa diarra,Alavés,La-Liga,2024-2025,1,0,0.0,0.0,0.0,0.03,0.0
brahim diaz,Real Madrid,La-Liga,2024-2025,28,15,0.14,5.3,5.3,0.19,-1.3
daniel diaz,Real Sociedad,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
pedro diaz,Rayo Vallecano,La-Liga,2024-2025,31,7,0.1,2.4,1.6,0.05,0.6
diego,Leganés,La-Liga,2024-2025,29,9,0.1,3.8,3.8,0.13,-0.8
stole dimitrievski,Valencia,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
yan diomande,Leganés,La-Liga,2024-2025,11,3,0.18,1.4,1.4,0.13,0.6
alvaro djalo,Athletic Club,La-Liga,2024-2025,15,3,0.07,0.8,0.8,0.06,0.2
djene,Getafe,La-Liga,2024-2025,6,0,0.0,0.3,0.3,0.05,-0.3
marko dmitrovic,Leganés,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
marc domenech,Mallorca,La-Liga,2024-2025,8,2,0.0,0.7,0.7,0.09,-0.7
carlos dominguez,Celta Vigo,La-Liga,2024-2025,3,1,0.0,0.2,0.2,0.07,-0.2
israel dominguez,Sevilla,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
sergi dominguez,Barcelona,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
anastasios douvikas,Celta Vigo,La-Liga,2024-2025,17,9,0.18,4.4,4.4,0.26,-1.4
domingos duarte,Getafe,La-Liga,2024-2025,3,1,0.33,0.2,0.2,0.07,0.8
duk,Leganés,La-Liga,2024-2025,2,1,0.0,0.0,0.0,0.01,0.0
pablo duran,Celta Vigo,La-Liga,2024-2025,26,9,0.15,3.6,3.6,0.14,0.4
hugo duro,Valencia,La-Liga,2024-2025,48,16,0.21,9.4,8.6,0.18,1.6
chidera ejuke,Sevilla,La-Liga,2024-2025,20,8,0.1,1.1,1.1,0.05,0.9
aritz elustondo,Real Sociedad,La-Liga,2024-2025,4,0,0.0,0.4,0.4,0.11,-0.4
adri embarba,Rayo Vallecano,La-Liga,2024-2025,37,12,0.03,2.1,2.1,0.06,-1.1
endrick,Real Madrid,La-Liga,2024-2025,24,6,0.04,2.5,2.5,0.1,-1.5
alfonso espino,Rayo Vallecano,La-Liga,2024-2025,10,2,0.0,0.4,0.4,0.04,-0.4
dario essugo,Las Palmas,La-Liga,2024-2025,23,4,0.04,0.7,0.7,0.03,0.3
etienne etoo,Rayo Vallecano,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
karl etta,Villarreal,La-Liga,2024-2025,2,2,0.5,0.4,0.4,0.18,0.6
edu exposito,Espanyol,La-Liga,2024-2025,18,6,0.0,1.0,1.0,0.06,-1.0
abde ezzalzouli,Betis,La-Liga,2024-2025,61,25,0.03,8.0,7.2,0.12,-6.0
ansu fati,Barcelona,La-Liga,2024-2025,12,5,0.0,1.0,1.0,0.08,-1.0
nabil fekir,Betis,La-Liga,2024-2025,7,1,0.0,0.7,0.7,0.1,-0.7
kiko femenia,Villarreal,La-Liga,2024-2025,3,0,0.0,0.4,0.4,0.12,-0.4
aitor fernandez,Osasuna,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
alvaro fernandez,Sevilla,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
pelayo fernandez,Rayo Vallecano,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
roberto fernandez,Espanyol,La-Liga,2024-2025,21,9,0.29,3.6,3.6,0.17,2.4
valery fernandez,Mallorca,La-Liga,2024-2025,3,3,0.67,0.8,0.8,0.28,1.2
andre ferreira,Valladolid,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
mateo flores,Betis,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
pablo fornals,Betis,La-Liga,2024-2025,23,4,0.09,1.8,1.8,0.08,0.2
hector fort,Barcelona,La-Liga,2024-2025,6,0,0.0,0.2,0.2,0.04,-0.2
dimitri foulquier,Valencia,La-Liga,2024-2025,13,2,0.0,0.4,0.4,0.03,-0.4
juan foyth,Villarreal,La-Liga,2024-2025,17,5,0.06,2.4,2.4,0.14,-1.4
fran,Real Madrid,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
alejandro frances,Girona,La-Liga,2024-2025,6,0,0.0,0.2,0.2,0.03,-0.2
enric franquesa,Leganés,La-Liga,2024-2025,3,1,0.33,0.3,0.3,0.1,0.7
jorge de frutos,Rayo Vallecano,La-Liga,2024-2025,52,18,0.12,6.3,6.3,0.12,-0.3
dario fuentes,Sevilla,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
manuel fuster,Las Palmas,La-Liga,2024-2025,18,7,0.11,0.7,0.7,0.04,1.3
javi galan,Atlético Madrid,La-Liga,2024-2025,9,0,0.0,0.2,0.2,0.02,-0.2
inigo ruiz de galarreta,Athletic Club,La-Liga,2024-2025,11,1,0.0,0.5,0.5,0.05,-0.5
conor gallagher,Atlético Madrid,La-Liga,2024-2025,22,4,0.14,2.8,2.8,0.13,0.2
facundo garces,Alavés,La-Liga,2024-2025,5,1,0.0,0.1,0.1,0.02,-0.1
alvaro garcia,Rayo Vallecano,La-Liga,2024-2025,71,26,0.06,7.6,7.6,0.11,-3.6
eric garcia,Barcelona,La-Liga,2024-2025,14,8,0.14,2.3,2.3,0.17,-0.3
fran garcia,Real Madrid,La-Liga,2024-2025,14,3,0.0,0.9,0.9,0.06,-0.9
gonzalo garcia,Real Madrid,La-Liga,2024-2025,1,0,0.0,0.5,0.5,0.49,-0.5
joan garcia,Espanyol,La-Liga,2024-2025,1,1,0.0,0.1,0.1,0.07,-0.1
pablo garcia,Betis,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
ruben garcia,Osasuna,La-Liga,2024-2025,27,10,0.19,3.2,3.2,0.12,1.8
unai garcia,Osasuna,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
yarek gasiorowski,Valencia,La-Liga,2024-2025,3,0,0.0,1.1,1.1,0.38,-1.1
gavi,Barcelona,La-Liga,2024-2025,11,1,0.09,0.9,0.9,0.08,0.1
paulo gazzaniga,Girona,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
bryan gil,Girona,La-Liga,2024-2025,32,15,0.09,2.3,2.3,0.07,0.7
dani gomez,Valencia,La-Liga,2024-2025,14,6,0.14,2.7,2.7,0.19,-0.7
moi gomez,Osasuna,La-Liga,2024-2025,6,1,0.0,0.5,0.5,0.08,-0.5
sergi gomez,Espanyol,La-Liga,2024-2025,2,1,0.0,0.3,0.3,0.15,-0.3
sergio gomez,Real Sociedad,La-Liga,2024-2025,18,10,0.11,1.9,1.9,0.11,0.1
unai gomez,Athletic Club,La-Liga,2024-2025,19,4,0.05,1.9,1.9,0.1,-0.9
fabio gonzalez,Las Palmas,La-Liga,2024-2025,2,0,0.0,0.1,0.1,0.04,-0.1
peter gonzalez,Getafe,La-Liga,2024-2025,12,4,0.0,1.3,1.3,0.1,-1.3
urko gonzalez,Espanyol,La-Liga,2024-2025,4,2,0.0,0.5,0.5,0.14,-0.5
urko gonzalez,Real Sociedad,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
andoni gorosabel,Athletic Club,La-Liga,2024-2025,2,1,0.0,0.3,0.3,0.17,-0.3
jose gragera,Espanyol,La-Liga,2024-2025,2,0,0.0,0.0,0.0,0.02,0.0
dominik greif,Mallorca,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
antoine griezmann,Atlético Madrid,La-Liga,2024-2025,48,17,0.15,7.4,5.9,0.13,0.6
florian grillitsch,Valladolid,La-Liga,2024-2025,3,2,0.0,0.1,0.1,0.03,-0.1
vicente guaita,Celta Vigo,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
sergi guardiola,Rayo Vallecano,La-Liga,2024-2025,11,3,0.0,2.4,2.4,0.22,-2.4
nemanja gudelj,Sevilla,La-Liga,2024-2025,22,5,0.0,1.6,0.8,0.04,-0.6
javier guerra,Valencia,La-Liga,2024-2025,47,10,0.06,2.2,2.2,0.05,0.8
ander guevara,Alavés,La-Liga,2024-2025,12,3,0.0,0.9,0.9,0.07,-0.9
pape gueye,Villarreal,La-Liga,2024-2025,55,17,0.07,3.4,3.4,0.06,0.6
hugo guillamon,Valencia,La-Liga,2024-2025,2,1,0.0,0.1,0.1,0.04,-0.1
carlos guirao,Betis,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
arda guler,Real Madrid,La-Liga,2024-2025,39,16,0.08,3.3,3.3,0.08,-0.3
gerard gumbau,Rayo Vallecano,La-Liga,2024-2025,13,5,0.0,1.1,1.1,0.08,-1.1
jon guridi,Alavés,La-Liga,2024-2025,23,11,0.09,4.2,3.4,0.15,-1.2
gorka guruzeta,Athletic Club,La-Liga,2024-2025,59,19,0.12,6.7,6.6,0.11,0.3
miguel gutierrez,Girona,La-Liga,2024-2025,28,9,0.04,1.6,1.6,0.06,-0.6
munir el haddadi,Leganés,La-Liga,2024-2025,21,9,0.19,1.6,1.6,0.07,2.4
sebastien haller,Leganés,La-Liga,2024-2025,4,1,0.0,0.4,0.4,0.1,-0.4
henrique,Valladolid,La-Liga,2024-2025,1,0,0.0,0.0,0.0,0.03,0.0
javi hernandez,Leganés,La-Liga,2024-2025,17,6,0.12,0.8,0.8,0.04,1.2
aridane hernandez,Rayo Vallecano,La-Liga,2024-2025,8,2,0.0,0.9,0.9,0.11,-0.9
jorge herrando,Osasuna,La-Liga,2024-2025,12,3,0.08,1.2,1.2,0.1,-0.2
ander herrera,Athletic Club,La-Liga,2024-2025,7,3,0.0,1.7,0.9,0.16,-1.7
sergio herrera,Osasuna,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
yangel herrera,Girona,La-Liga,2024-2025,39,14,0.1,3.6,3.6,0.09,0.4
juan herzog,Las Palmas,La-Liga,2024-2025,12,2,0.0,0.9,0.9,0.07,-0.9
omar el hilali,Espanyol,La-Liga,2024-2025,2,0,0.0,0.0,0.0,0.01,0.0
roger hinojo,Espanyol,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
dinko horkas,Las Palmas,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
pablo ibanez,Osasuna,La-Liga,2024-2025,20,5,0.05,1.6,1.6,0.08,-0.6
stanis idumbo,Sevilla,La-Liga,2024-2025,4,2,0.25,0.6,0.6,0.16,0.4
iglesias,Getafe,La-Liga,2024-2025,21,3,0.0,1.6,1.6,0.08,-1.6
borja iglesias,Celta Vigo,La-Liga,2024-2025,46,28,0.24,9.3,9.3,0.2,1.7
kelechi iheanacho,Sevilla,La-Liga,2024-2025,9,2,0.0,1.5,1.5,0.16,-1.5
isco,Betis,La-Liga,2024-2025,38,9,0.11,8.6,3.9,0.1,0.4
diego iturralde,Sevilla,La-Liga,2024-2025,1,0,0.0,0.1,0.1,0.09,-0.1
ivan jaime pajuelo,Valencia,La-Liga,2024-2025,8,3,0.0,0.6,0.6,0.08,-0.6
karl jakob hein,Valladolid,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
adnan januzaj,Las Palmas,La-Liga,2024-2025,16,5,0.13,0.8,0.8,0.05,1.2
mikel jauregizar,Athletic Club,La-Liga,2024-2025,21,8,0.1,1.1,1.1,0.05,0.9
john joe,Getafe,La-Liga,2024-2025,2,0,0.0,0.1,0.1,0.07,-0.1
jofre,Espanyol,La-Liga,2024-2025,40,10,0.08,2.5,2.5,0.06,0.5
frenkie de jong,Barcelona,La-Liga,2024-2025,5,3,0.4,0.7,0.7,0.13,1.3
joan jordan,Alavés,La-Liga,2024-2025,13,4,0.15,4.8,1.6,0.13,0.2
juanmi,Getafe,La-Liga,2024-2025,13,6,0.0,2.9,2.9,0.22,-2.9
juanmi,Betis,La-Liga,2024-2025,6,1,0.0,0.7,0.7,0.11,-0.7
juanpe,Girona,La-Liga,2024-2025,2,0,0.0,0.1,0.1,0.04,-0.1
luiz lucio reis junior,Villarreal,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
vinicius junior,Real Madrid,La-Liga,2024-2025,78,24,0.12,10.4,8.2,0.11,0.6
stanko juric,Valladolid,La-Liga,2024-2025,8,2,0.0,0.8,0.8,0.1,-0.8
willy kambwala,Villarreal,La-Liga,2024-2025,4,1,0.0,0.3,0.3,0.08,-0.3
abdoulaye keita,Getafe,La-Liga,2024-2025,2,0,0.0,0.0,0.0,0.02,0.0
