Player,Squad,Liga,Season,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,Touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle
odsonne edouard,crystal palace,Premier-League,2024-2025,4,23,18,8,45,1,0.0,1,1.0,56,1,2,4,1
odsonne edouard,leicester city,Premier-League,2024-2025,2,7,11,6,20,2,0.5,1,0.5,2,0,1,7,2
samuel edozie,southampton,Premier-League,2024-2025,0,7,36,10,43,4,0.5,2,0.5,197,2,4,4,0
ronnie edwards,southampton,Premier-League,2024-2025,4,2,0,0,6,0,,0,,0,0,0,0,0
anthony elanga,nottham forest,Premier-League,2024-2025,136,319,679,110,1115,83,0.301,39,0.47,2544,45,48,79,43
harvey elliott,liverpool,Premier-League,2024-2025,32,164,144,21,339,9,0.444,4,0.444,408,11,5,5,4
yunus emre konak,brentford,Premier-League,2024-2025,9,27,17,0,53,2,0.0,2,1.0,41,1,1,3,3
julio enciso,ipswich town,Premier-League,2024-2025,52,202,167,23,406,66,0.455,28,0.424,793,25,9,24,30
julio enciso,brighton,Premier-League,2024-2025,17,72,116,20,202,21,0.47600000000000003,8,0.381,386,10,4,7,9
wataru endo,liverpool,Premier-League,2024-2025,65,124,49,3,237,2,1.0,0,0.0,169,3,1,6,3
christian eriksen,manchester utd,Premier-League,2024-2025,173,397,284,17,849,4,0.0,4,1.0,851,14,1,13,5
romain esse,crystal palace,Premier-League,2024-2025,14,30,29,9,73,6,0.33299999999999996,4,0.667,49,1,2,6,2
pervis estupinan,brighton,Premier-League,2024-2025,493,936,506,35,1915,34,0.5589999999999999,13,0.382,2689,61,9,34,27
evanilson,bournemouth,Premier-League,2024-2025,56,208,299,127,557,21,0.33299999999999996,8,0.381,861,18,15,38,24
jake evans,leicester city,Premier-League,2024-2025,1,3,1,0,5,0,,0,,0,0,0,0,1
jonny evans,manchester utd,Premier-League,2024-2025,139,100,15,3,250,1,1.0,0,0.0,242,2,0,1,0
eberechi eze,crystal palace,Premier-League,2024-2025,193,661,597,95,1412,138,0.486,62,0.449,2380,48,22,55,45
ukasz fabianski,west ham,Premier-League,2024-2025,525,5,0,0,530,3,1.0,0,0.0,890,0,0,0,0
wout faes,leicester city,Premier-League,2024-2025,962,885,68,27,1906,6,0.833,1,0.16699999999999998,2928,13,2,17,6
abdul fatawu issahaku,leicester city,Premier-League,2024-2025,73,114,157,26,326,69,0.42,28,0.406,1055,24,15,18,12
joao felix,chelsea,Premier-League,2024-2025,26,128,125,30,272,31,0.32299999999999995,14,0.452,712,13,5,6,4
evan ferguson,west ham,Premier-League,2024-2025,6,30,31,10,66,5,0.6,2,0.4,41,1,1,8,5
evan ferguson,brighton,Premier-League,2024-2025,13,50,26,9,88,2,0.5,1,0.5,56,1,2,5,6
bruno fernandes,manchester utd,Premier-League,2024-2025,428,1263,983,80,2646,67,0.418,33,0.493,3866,65,14,43,43
mateus fernandes,southampton,Premier-League,2024-2025,385,867,547,49,1760,109,0.45,49,0.45,3143,70,9,58,36
enzo fernandez,chelsea,Premier-League,2024-2025,346,1129,751,81,2210,55,0.473,21,0.382,2735,55,9,29,28
mark flekken,brentford,Premier-League,2024-2025,1777,52,0,0,1824,1,1.0,0,0.0,3253,0,0,3,0
phil foden,manchester city,Premier-League,2024-2025,85,382,681,83,1139,43,0.326,23,0.535,1782,30,17,36,31
wesley fofana,chelsea,Premier-League,2024-2025,370,523,55,10,933,15,0.5329999999999999,3,0.2,1614,12,1,16,5
carlos forbs,wolves,Premier-League,2024-2025,23,39,60,13,121,12,0.583,5,0.41700000000000004,321,3,8,7,4
fraser forster,tottenham,Premier-League,2024-2025,228,0,0,0,228,1,1.0,0,0.0,264,0,0,1,0
matheus franca,crystal palace,Premier-League,2024-2025,5,11,17,7,33,0,,0,,85,1,3,2,0
ryan fraser,southampton,Premier-League,2024-2025,45,50,37,3,131,3,0.667,1,0.33299999999999996,252,5,2,4,2
tyler fredricson,manchester utd,Premier-League,2024-2025,64,68,9,1,141,1,1.0,0,0.0,114,1,0,2,0
niclas fullkrug,west ham,Premier-League,2024-2025,27,142,110,40,277,8,0.125,6,0.75,215,4,2,18,7
cody gakpo,liverpool,Premier-League,2024-2025,91,258,557,110,888,61,0.508,21,0.344,2208,34,28,45,24
idrissa gana gueye,everton,Premier-League,2024-2025,432,1045,336,21,1801,39,0.462,19,0.48700000000000004,1752,27,4,32,38
andres garcia,aston villa,Premier-League,2024-2025,38,108,112,2,256,18,0.278,12,0.667,673,13,2,10,6
alejandro garnacho,manchester utd,Premier-League,2024-2025,130,364,683,176,1159,89,0.292,55,0.618,3245,72,67,64,48
james garner,everton,Premier-League,2024-2025,226,511,248,15,977,19,0.368,12,0.632,842,19,2,16,9
tyrique george,chelsea,Premier-League,2024-2025,11,21,39,9,70,5,0.6,2,0.4,209,1,5,3,0
morgan gibbswhite,nottham forest,Premier-League,2024-2025,185,830,636,92,1626,77,0.40299999999999997,35,0.455,2566,52,13,70,44
billy gilmour,brighton,Premier-League,2024-2025,14,46,13,0,73,2,0.5,1,0.5,117,0,0,0,0
ben godfrey,ipswich town,Premier-League,2024-2025,26,33,9,1,68,0,,0,,79,2,0,2,1
martial godo,fulham,Premier-League,2024-2025,1,7,17,7,25,4,0.25,3,0.75,87,0,2,0,0
michael golding,leicester city,Premier-League,2024-2025,0,0,0,0,0,0,,0,,0,0,0,0,0
joao gomes,wolves,Premier-League,2024-2025,431,1105,491,45,1998,65,0.462,28,0.431,2843,51,6,43,51
rodrigo gomes,wolves,Premier-League,2024-2025,101,141,182,29,417,15,0.33299999999999996,7,0.467,805,18,7,21,9
toti gomes,wolves,Premier-League,2024-2025,942,1000,108,17,2027,32,0.625,10,0.313,3203,20,0,20,15
diego gomez,brighton,Premier-League,2024-2025,87,212,109,10,403,12,0.5,6,0.5,365,4,0,10,9
joe gomez,liverpool,Premier-League,2024-2025,183,264,37,5,481,0,,0,,947,2,1,1,2
nicolas gonzalez,manchester city,Premier-League,2024-2025,116,439,161,10,713,6,0.16699999999999998,3,0.5,729,12,3,8,11
anthony gordon,newcastle utd,Premier-League,2024-2025,125,475,687,128,1265,103,0.369,47,0.456,3295,62,56,36,38
ryan gravenberch,liverpool,Premier-League,2024-2025,509,1354,512,26,2343,81,0.457,30,0.37,3742,75,10,55,26
archie gray,tottenham,Premier-League,2024-2025,609,582,106,3,1286,13,0.5379999999999999,5,0.385,1678,5,0,12,11
jack grealish,manchester city,Premier-League,2024-2025,42,162,324,71,521,29,0.44799999999999995,9,0.31,1714,23,46,10,16
jacob greaves,ipswich town,Premier-League,2024-2025,746,568,95,22,1404,6,0.667,1,0.16699999999999998,1268,11,0,10,2
brajan gruda,brighton,Premier-League,2024-2025,38,120,192,46,344,30,0.433,12,0.4,662,19,13,14,21
albert grnbaek,southampton,Premier-League,2024-2025,9,14,15,2,38,4,0.0,4,1.0,15,0,1,5,4
goncalo guedes,wolves,Premier-League,2024-2025,49,199,250,40,484,28,0.321,15,0.536,1056,27,8,38,18
marc guehi,crystal palace,Premier-League,2024-2025,1051,943,148,39,2131,15,0.8,2,0.133,2935,17,1,16,18
luis guilherme,west ham,Premier-League,2024-2025,19,40,41,5,99,13,0.5379999999999999,4,0.308,165,3,1,4,3
bruno guimaraes,newcastle utd,Premier-League,2024-2025,445,1131,662,85,2213,78,0.436,27,0.34600000000000003,3483,46,15,56,76
marc guiu,chelsea,Premier-League,2024-2025,2,8,12,3,22,1,0.0,1,1.0,8,0,0,2,0
ilkay gundogan,manchester city,Premier-League,2024-2025,270,929,714,67,1892,41,0.415,16,0.39,3000,57,11,29,25
malo gusto,chelsea,Premier-League,2024-2025,387,772,451,43,1595,16,0.25,11,0.688,2248,36,8,18,17
josko gvardiol,manchester city,Premier-League,2024-2025,764,1549,815,98,3103,43,0.581,14,0.326,6002,102,15,29,16
erling haaland,manchester city,Premier-League,2024-2025,40,222,384,190,635,36,0.361,20,0.556,577,15,23,45,27
lewis hall,newcastle utd,Premier-League,2024-2025,623,804,414,47,1820,21,0.524,7,0.33299999999999996,2358,22,13,33,20
ali al hamadi,ipswich town,Premier-League,2024-2025,6,20,30,9,53,7,0.5710000000000001,3,0.429,111,3,4,7,4
marcus harness,ipswich town,Premier-League,2024-2025,7,2,13,3,22,1,0.0,1,1.0,14,0,0,0,0
jack harrison,everton,Premier-League,2024-2025,157,336,463,69,948,75,0.32,43,0.573,1639,36,17,52,41
taylor harwoodbellis,southampton,Premier-League,2024-2025,1158,1145,182,42,2475,3,1.0,0,0.0,3938,27,0,16,5
kai havertz,arsenal,Premier-League,2024-2025,92,287,411,107,785,38,0.237,24,0.632,954,23,18,44,23
ayden heaven,manchester utd,Premier-League,2024-2025,68,60,10,2,136,4,0.5,2,0.5,259,1,0,3,1
jan paul van hecke,brighton,Premier-League,2024-2025,1094,1350,166,33,2589,11,0.455,4,0.364,7191,46,0,12,7
hwang heechan,wolves,Premier-League,2024-2025,42,105,126,24,271,14,0.14300000000000002,12,0.857,448,5,7,14,10
dean henderson,crystal palace,Premier-League,2024-2025,1303,4,1,1,1308,0,,0,,2136,0,0,2,0
rico henry,brentford,Premier-League,2024-2025,22,29,16,1,66,3,0.0,2,0.667,60,1,0,3,2
mads hermansen,leicester city,Premier-League,2024-2025,1106,43,0,0,1147,1,1.0,0,0.0,1904,0,0,1,0
son heungmin,tottenham,Premier-League,2024-2025,115,362,668,122,1132,83,0.349,41,0.494,2613,49,44,25,32
james hill,bournemouth,Premier-League,2024-2025,99,167,54,8,319,2,0.5,1,0.5,295,6,0,2,0
jack hinshelwood,brighton,Premier-League,2024-2025,322,560,323,35,1199,11,0.182,8,0.727,1189,20,2,18,3
george hirst,ipswich town,Premier-League,2024-2025,28,61,101,28,188,6,0.33299999999999996,3,0.5,211,2,7,21,16
mason holgate,everton,Premier-League,2024-2025,0,2,1,0,3,0,,0,,0,0,0,1,0
harry howell,brighton,Premier-League,2024-2025,1,7,4,3,12,0,,0,,8,0,1,0,0
callum hudsonodoi,nottham forest,Premier-League,2024-2025,117,338,605,74,1035,63,0.5870000000000001,18,0.28600000000000003,3401,61,47,45,23
will hughes,crystal palace,Premier-League,2024-2025,295,615,308,17,1203,16,0.313,7,0.43799999999999994,1276,24,1,21,30
dean huijsen,bournemouth,Premier-League,2024-2025,915,971,145,30,2021,5,0.4,3,0.6,4349,31,0,20,1
omari hutchinson,ipswich town,Premier-League,2024-2025,200,516,567,92,1259,137,0.37200000000000005,68,0.496,2976,39,37,80,58
rasmus hjlund,manchester utd,Premier-League,2024-2025,36,251,237,74,515,33,0.273,21,0.636,655,13,17,63,33
igor,brighton,Premier-League,2024-2025,385,381,54,1,816,6,0.833,1,0.16699999999999998,1837,14,0,1,0
danny ings,west ham,Premier-League,2024-2025,15,51,73,27,139,7,0.5710000000000001,2,0.28600000000000003,118,0,2,6,6
tim iroegbunam,everton,Premier-League,2024-2025,89,127,60,12,269,20,0.4,8,0.4,379,10,2,11,18
andy irving,west ham,Premier-League,2024-2025,37,89,24,0,150,1,1.0,0,0.0,137,1,0,1,3
alexander isak,newcastle utd,Premier-League,2024-2025,57,386,596,189,1021,91,0.462,47,0.516,1861,42,43,66,55
alex iwobi,fulham,Premier-League,2024-2025,244,748,895,116,1861,97,0.495,42,0.433,4367,105,37,62,40
nicolas jackson,chelsea,Premier-League,2024-2025,50,285,361,141,687,61,0.295,32,0.525,1316,25,32,71,41
reece james,chelsea,Premier-League,2024-2025,267,516,176,7,952,17,0.41200000000000003,6,0.353,822,4,1,7,9
vitaly janelt,brentford,Premier-League,2024-2025,418,574,306,32,1289,12,0.25,7,0.583,1278,18,3,16,10
vitezslav jaros,liverpool,Premier-League,2024-2025,8,0,0,0,8,0,,0,,8,0,0,0,0
daniel jebbison,bournemouth,Premier-League,2024-2025,10,25,44,14,78,7,0.5710000000000001,3,0.429,95,2,5,13,5
mathias jensen,brentford,Premier-League,2024-2025,126,243,207,9,573,17,0.529,6,0.353,598,12,0,9,7
gabriel jesus,arsenal,Premier-League,2024-2025,28,108,165,48,299,22,0.409,10,0.455,432,6,11,13,13
raul jimenez,fulham,Premier-League,2024-2025,120,431,464,165,996,50,0.42,26,0.52,1112,24,17,74,45
kim jisoo,brentford,Premier-League,2024-2025,15,12,3,0,30,0,,0,,22,0,0,0,1
joao pedro,brighton,Premier-League,2024-2025,60,387,508,122,935,86,0.337,47,0.547,1821,39,30,72,38
joelinton,newcastle utd,Premier-League,2024-2025,256,670,448,83,1360,46,0.326,28,0.609,1786,26,9,39,53
ben johnson,ipswich town,Premier-League,2024-2025,246,220,163,12,626,24,0.33299999999999996,14,0.583,585,12,3,23,17
brennan johnson,tottenham,Premier-League,2024-2025,98,292,475,125,853,44,0.43200000000000005,22,0.5,1460,23,35,26,17
sam johnstone,wolves,Premier-League,2024-2025,304,2,0,0,306,0,,0,,756,0,0,0,0
curtis jones,liverpool,Premier-League,2024-2025,220,683,393,58,1288,22,0.545,8,0.364,1892,23,8,26,36
jorginho,arsenal,Premier-League,2024-2025,93,304,131,3,522,4,0.25,2,0.5,874,13,0,12,9
diogo jota,liverpool,Premier-League,2024-2025,35,198,259,97,485,33,0.33299999999999996,20,0.606,796,23,21,40,22
james justin,leicester city,Premier-League,2024-2025,692,881,387,38,1948,30,0.3,13,0.433,1788,27,4,31,15
filip jrgensen,chelsea,Premier-League,2024-2025,201,1,0,0,202,0,,0,,423,0,0,0,0
ferdi kadioglu,brighton,Premier-League,2024-2025,71,91,72,9,231,7,0.429,3,0.429,183,0,0,6,2
daichi kamada,crystal palace,Premier-League,2024-2025,208,496,240,32,937,19,0.368,9,0.474,1121,19,6,16,20
boubacar kamara,aston villa,Premier-League,2024-2025,344,637,141,12,1113,27,0.33299999999999996,9,0.33299999999999996,1370,13,2,12,17
joachim kayi sanda,southampton,Premier-League,2024-2025,8,10,1,1,19,0,,0,,35,0,0,1,0
michael kayode,brentford,Premier-League,2024-2025,101,121,97,13,313,18,0.5,8,0.444,500,7,3,13,3
michael keane,everton,Premier-League,2024-2025,295,198,22,17,513,1,0.0,1,1.0,290,1,0,2,2
caoimhin kelleher,liverpool,Premier-League,2024-2025,396,2,0,0,398,1,1.0,0,0.0,616,0,0,1,0
lloyd kelly,newcastle utd,Premier-League,2024-2025,105,94,19,4,215,3,0.667,1,0.33299999999999996,202,2,0,3,2
milos kerkez,bournemouth,Premier-League,2024-2025,552,900,731,69,2158,48,0.45799999999999996,16,0.33299999999999996,3711,73,16,49,22
bilal el khannouss,leicester city,Premier-League,2024-2025,183,655,445,35,1268,60,0.5670000000000001,23,0.38299999999999995,2038,45,12,38,38
abdukodir khusanov,manchester city,Premier-League,2024-2025,205,211,31,1,445,2,0.0,2,1.0,435,1,0,2,1
max kilman,west ham,Premier-League,2024-2025,1317,962,113,32,2374,22,0.727,2,0.091,3185,14,2,17,4
joshua king,fulham,Premier-League,2024-2025,12,31,46,10,87,8,0.5,4,0.5,138,4,0,1,6
tom king,wolves,Premier-League,2024-2025,1,0,0,0,1,0,,0,,5,0,0,0,0
antonin kinsky,tottenham,Premier-League,2024-2025,234,3,0,0,237,0,,0,,491,0,0,0,0
jakub kiwior,arsenal,Premier-League,2024-2025,281,494,72,5,846,5,0.6,2,0.4,1037,7,1,3,2
justin kluivert,bournemouth,Premier-League,2024-2025,99,366,641,134,1080,87,0.414,40,0.46,2364,55,38,55,27
ibrahima konate,liverpool,Premier-League,2024-2025,928,1145,119,23,2185,6,0.5,2,0.33299999999999996,3603,15,0,8,2
ezri konsa,aston villa,Premier-League,2024-2025,883,934,107,22,1915,18,0.444,7,0.389,3008,15,2,17,10
mateo kovacic,manchester city,Premier-League,2024-2025,318,1199,627,17,2123,41,0.537,11,0.268,3961,78,3,19,29
caleb kporha,crystal palace,Premier-League,2024-2025,4,2,5,0,11,0,,0,,36,1,0,0,2
emil krafth,newcastle utd,Premier-League,2024-2025,100,73,28,4,199,1,0.0,1,1.0,175,6,0,2,2
mohammed kudus,west ham,Premier-League,2024-2025,171,536,612,127,1274,208,0.442,98,0.47100000000000003,2613,59,42,77,93
dejan kulusevski,tottenham,Premier-League,2024-2025,149,432,719,158,1276,117,0.325,71,0.607,3208,67,40,77,74
maxence lacroix,crystal palace,Premier-League,2024-2025,1184,672,85,45,1934,14,0.5710000000000001,4,0.28600000000000003,2203,6,0,21,6
adam lallana,southampton,Premier-League,2024-2025,91,155,73,6,318,12,0.41700000000000004,5,0.41700000000000004,366,8,0,10,6
tariq lamptey,brighton,Premier-League,2024-2025,161,224,154,11,535,31,0.32299999999999995,18,0.581,1034,17,3,11,5
will lankshear,tottenham,Premier-League,2024-2025,0,2,1,0,3,0,,0,,0,0,0,2,0
romeo lavia,chelsea,Premier-League,2024-2025,109,319,71,1,493,16,0.625,6,0.375,567,9,0,3,7
mario lemina,wolves,Premier-League,2024-2025,324,378,119,18,809,16,0.625,4,0.25,1038,12,2,21,11
bernd leno,fulham,Premier-League,2024-2025,1466,13,0,0,1479,0,,0,,2233,0,0,0,0
jefferson lerma,crystal palace,Premier-League,2024-2025,469,703,244,29,1406,13,0.5379999999999999,4,0.308,1100,11,0,15,18
rico lewis,manchester city,Premier-League,2024-2025,289,727,477,46,1477,21,0.429,11,0.524,2155,41,8,20,19
keane lewispotter,brentford,Premier-League,2024-2025,504,625,505,74,1613,101,0.406,50,0.495,3211,69,35,51,20
myles lewisskelly,arsenal,Premier-League,2024-2025,178,476,265,17,905,28,0.429,9,0.321,1663,26,7,13,9
matthijs de ligt,manchester utd,Premier-League,2024-2025,828,731,56,29,1608,4,0.5,2,0.5,2225,3,0,5,3
pedro lima,wolves,Premier-League,2024-2025,9,12,28,3,48,3,0.33299999999999996,2,0.667,83,3,1,1,0
victor lindelof,manchester utd,Premier-League,2024-2025,243,187,24,3,452,0,,0,,553,4,0,1,1
jesper lindstrm,everton,Premier-League,2024-2025,127,206,303,40,625,43,0.18600000000000003,31,0.721,780,19,7,31,24
valentino livramento,newcastle utd,Premier-League,2024-2025,619,894,482,41,1964,56,0.446,23,0.41100000000000003,3316,42,13,32,39
sean longstaff,newcastle utd,Premier-League,2024-2025,123,193,121,21,434,7,0.28600000000000003,4,0.5710000000000001,429,10,2,9,7
sasa lukic,fulham,Premier-League,2024-2025,332,843,331,21,1493,17,0.47100000000000003,5,0.294,2190,40,4,23,8
joe lumley,southampton,Premier-League,2024-2025,161,3,0,0,164,0,,0,,296,0,0,0,0
massimo luongo,ipswich town,Premier-League,2024-2025,34,33,20,2,87,0,,0,,27,0,0,2,3
ian maatsen,aston villa,Premier-League,2024-2025,247,334,348,47,917,29,0.44799999999999995,16,0.552,1184,17,13,22,25
alexis mac allister,liverpool,Premier-League,2024-2025,284,960,637,60,1860,42,0.381,21,0.5,2018,43,5,31,22
james maddison,tottenham,Premier-League,2024-2025,210,691,576,77,1464,77,0.429,34,0.442,2279,39,20,23,25
noni madueke,chelsea,Premier-League,2024-2025,101,301,595,184,980,102,0.441,46,0.451,3485,50,93,52,25
gabriel magalhaes,arsenal,Premier-League,2024-2025,672,985,225,40,1873,5,0.8,1,0.2,2669,22,0,9,2
edmondparis maghoma,brentford,Premier-League,2024-2025,18,58,27,4,101,4,0.75,1,0.25,221,3,1,2,0
harry maguire,manchester utd,Premier-League,2024-2025,652,616,76,44,1328,5,0.4,3,0.6,2056,9,3,10,2
kobbie mainoo,manchester utd,Premier-League,2024-2025,197,587,287,36,1061,50,0.46,25,0.5,1222,17,10,36,36
tyrell malacia,manchester utd,Premier-League,2024-2025,20,27,15,0,62,1,1.0,0,0.0,118,2,0,1,2
donyell malen,aston villa,Premier-League,2024-2025,9,33,94,25,129,11,0.364,5,0.455,370,7,7,8,7
mateus mane,wolves,Premier-League,2024-2025,0,6,0,0,6,0,,0,,7,0,0,0,0
orel mangala,everton,Premier-League,2024-2025,133,335,157,13,621,24,0.583,9,0.375,576,6,3,12,12
ryan manning,southampton,Premier-League,2024-2025,260,397,321,22,968,36,0.306,16,0.444,982,13,4,17,5
solly march,brighton,Premier-League,2024-2025,12,33,73,7,118,4,0.25,3,0.75,167,2,3,3,1
omar marmoush,manchester city,Premier-League,2024-2025,34,152,326,68,504,46,0.435,21,0.457,960,20,15,45,19
gabriel martinelli,arsenal,Premier-League,2024-2025,102,247,660,182,994,109,0.303,60,0.55,2620,33,64,50,38
emiliano martinez,aston villa,Premier-League,2024-2025,1429,20,0,0,1449,1,1.0,0,0.0,2936,0,0,1,0
lisandro martinez,manchester utd,Premier-League,2024-2025,713,697,125,18,1524,7,0.857,1,0.14300000000000002,3129,23,2,1,3
pape matar sarr,tottenham,Premier-League,2024-2025,274,699,302,28,1253,30,0.36700000000000005,16,0.5329999999999999,1918,37,5,29,22
jeanphilippe mateta,crystal palace,Premier-League,2024-2025,64,350,340,94,737,46,0.435,22,0.478,1048,22,10,72,45
stephy mavididi,leicester city,Premier-League,2024-2025,132,327,421,61,863,95,0.368,47,0.495,2355,40,27,39,35
konstantinos mavropanos,west ham,Premier-League,2024-2025,806,671,63,24,1532,17,0.529,5,0.294,2292,10,1,12,0
noussair mazraoui,manchester utd,Premier-League,2024-2025,839,976,349,30,2139,48,0.542,18,0.375,2884,32,3,25,17
bryan mbeumo,brentford,Premier-League,2024-2025,246,567,998,168,1775,111,0.46799999999999997,47,0.423,3519,69,75,106,47
james mcatee,manchester city,Premier-League,2024-2025,17,62,90,21,168,7,0.28600000000000003,5,0.7140000000000001,211,6,1,5,1
kasey mcateer,leicester city,Premier-League,2024-2025,76,141,169,30,379,25,0.24,15,0.6,575,11,9,20,16
alex mccarthy,southampton,Premier-League,2024-2025,173,0,0,0,173,0,,0,,276,0,0,0,0
john mcginn,aston villa,Premier-League,2024-2025,164,558,361,58,1072,47,0.426,13,0.27699999999999997,1270,17,7,37,29
dwight mcneil,everton,Premier-League,2024-2025,73,328,368,25,748,45,0.5329999999999999,20,0.444,1162,34,5,26,33
scott mctominay,manchester utd,Premier-League,2024-2025,3,8,3,1,14,1,0.0,1,1.0,44,0,0,1,1
ben mee,brentford,Premier-League,2024-2025,66,62,11,3,138,0,,0,,274,1,1,0,0
jayden meghoma,brentford,Premier-League,2024-2025,2,0,1,0,3,0,,0,,0,0,0,0,0
mikel merino,arsenal,Premier-League,2024-2025,140,330,323,79,783,23,0.391,10,0.435,747,13,4,24,27
shumaira mheuka,chelsea,Premier-League,2024-2025,0,0,2,1,2,0,,0,,0,0,0,0,0
nikola milenkovic,nottham forest,Premier-League,2024-2025,775,552,89,64,1412,1,1.0,0,0.0,1116,3,2,4,2
lewis miley,newcastle utd,Premier-League,2024-2025,44,124,68,6,235,3,0.33299999999999996,1,0.33299999999999996,202,2,0,8,1
james milner,brighton,Premier-League,2024-2025,13,49,31,4,93,1,1.0,0,0.0,97,1,0,0,0
tyrone mings,aston villa,Premier-League,2024-2025,405,346,47,17,794,3,0.667,1,0.33299999999999996,1365,13,1,3,1
yankuba minteh,brighton,Premier-League,2024-2025,135,228,491,146,836,98,0.469,43,0.439,2105,24,67,53,28
tyrick mitchell,crystal palace,Premier-League,2024-2025,622,671,475,43,1754,38,0.42100000000000004,17,0.447,1771,36,9,38,30
kaoru mitoma,brighton,Premier-League,2024-2025,155,468,782,164,1375,131,0.397,74,0.565,3906,82,56,53,23
jakub moder,brighton,Premier-League,2024-2025,7,12,9,1,27,0,,0,,62,3,0,0,0
jeremy monga,leicester city,Premier-League,2024-2025,9,16,27,5,51,7,0.28600000000000003,3,0.429,157,2,3,5,2
mikey moore,tottenham,Premier-League,2024-2025,17,43,83,13,142,17,0.11800000000000001,13,0.765,374,6,5,10,7
morato,nottham forest,Premier-League,2024-2025,270,170,19,2,457,2,1.0,0,0.0,417,2,0,6,3
alex moreno,nottham forest,Premier-League,2024-2025,210,202,158,8,559,21,0.381,8,0.381,864,16,4,13,6
sam morsy,ipswich town,Premier-League,2024-2025,498,953,248,6,1683,29,0.586,9,0.31,2101,24,3,17,13
yerson mosquera,wolves,Premier-League,2024-2025,170,115,12,7,294,0,,0,,322,1,0,4,1
mason mount,manchester utd,Premier-League,2024-2025,45,161,137,31,339,10,0.1,8,0.8,490,11,2,16,9
divin mubama,manchester city,Premier-League,2024-2025,0,2,3,1,5,0,,0,,0,0,0,0,1
mykhailo mudryk,chelsea,Premier-League,2024-2025,12,15,38,6,62,8,0.375,5,0.625,227,8,0,3,7
marshall munetsi,wolves,Premier-League,2024-2025,58,182,128,36,364,11,0.273,7,0.636,215,4,4,32,12
rodrigo muniz,fulham,Premier-League,2024-2025,27,161,127,55,311,18,0.33299999999999996,9,0.5,187,4,3,47,24
daniel munoz,crystal palace,Premier-League,2024-2025,568,826,637,107,2010,56,0.375,33,0.589,1797,40,18,55,20
arijanet muric,ipswich town,Premier-League,2024-2025,672,18,0,0,689,0,,0,,1178,0,0,3,1
murillo,nottham forest,Premier-League,2024-2025,989,840,105,24,1918,37,0.73,10,0.27,2531,25,1,19,10
jacob murphy,newcastle utd,Premier-League,2024-2025,188,474,622,92,1271,69,0.507,31,0.449,2339,40,27,32,37
vitaliy mykolenko,everton,Premier-League,2024-2025,525,713,452,32,1678,20,0.4,9,0.45,1506,28,1,23,11
iliman ndiaye,everton,Premier-League,2024-2025,219,451,464,83,1082,143,0.47600000000000003,64,0.44799999999999995,2367,44,32,55,44
wilfred ndidi,leicester city,Premier-League,2024-2025,461,699,253,61,1400,33,0.39399999999999996,18,0.545,1101,23,2,37,33
kosta nedeljkovic,aston villa,Premier-League,2024-2025,15,32,19,0,66,2,0.5,1,0.5,33,0,0,1,0
reiss nelson,arsenal,Premier-League,2024-2025,1,1,0,0,2,0,,0,,4,0,0,0,0
reiss nelson,fulham,Premier-League,2024-2025,30,110,212,35,347,35,0.371,13,0.371,960,25,21,14,8
neto,bournemouth,Premier-League,2024-2025,70,0,0,0,70,0,,0,,99,0,0,0,0
pedro neto,chelsea,Premier-League,2024-2025,100,336,735,116,1153,104,0.327,46,0.442,3342,57,45,45,30
eddie nketiah,crystal palace,Premier-League,2024-2025,47,176,198,67,412,31,0.355,16,0.516,878,25,14,34,17
christopher nkunku,chelsea,Premier-League,2024-2025,52,183,217,52,448,27,0.37,14,0.519,628,16,13,18,17
gustavo nunes,brentford,Premier-League,2024-2025,4,1,2,1,7,0,,0,,11,0,1,1,0
matheus nunes,manchester city,Premier-League,2024-2025,251,560,614,62,1416,41,0.46299999999999997,14,0.341,2315,37,24,32,13
darwin nunez,liverpool,Premier-League,2024-2025,45,122,210,74,366,23,0.348,14,0.609,568,19,12,24,21
ethan nwaneri,arsenal,Premier-League,2024-2025,44,167,339,44,544,62,0.597,19,0.306,1329,25,17,23,17
christian nrgaard,brentford,Premier-League,2024-2025,613,855,350,57,1802,14,0.5,5,0.35700000000000004,1391,16,4,34,20
jake obrien,everton,Premier-League,2024-2025,374,390,139,22,900,10,0.4,5,0.5,906,6,2,5,5
matt oriley,brighton,Premier-League,2024-2025,80,232,215,47,524,13,0.615,4,0.308,544,12,8,19,4
dara oshea,ipswich town,Premier-League,2024-2025,1169,730,129,51,2022,2,0.5,1,0.5,2069,2,0,12,4
chidozie obimartin,manchester utd,Premier-League,2024-2025,6,21,20,9,47,3,0.33299999999999996,2,0.667,50,0,1,5,1
wilson odobert,tottenham,Premier-League,2024-2025,46,142,197,35,381,32,0.375,17,0.531,1146,25,18,21,17
chiedozie ogbene,ipswich town,Premier-League,2024-2025,11,19,40,6,70,7,0.14300000000000002,3,0.429,139,2,2,4,2
caleb okoli,leicester city,Premier-League,2024-2025,451,325,35,10,806,0,,0,,1106,6,0,10,2
robin olsen,aston villa,Premier-League,2024-2025,109,1,0,0,110,0,,0,,132,0,0,0,0
